# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
2.251000e-02 1.754000e+00 1.500000e-01 1.069333e+01 3.689458e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.201608e+01 1.904163e-16 3.689465e+00 1.000000e+00 4.225528e-02 4.225528e-02
2.251000e-02 1.184000e+00 1.500000e-01 6.893333e+00 3.991976e-04 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 5.541542e+01 6.357169e-16 3.991983e+02 1.000000e+00 4.563273e-02 4.563273e-02
2.251000e-02 2.151000e-01 1.500000e-01 4.340000e-01 2.741361e+01 9.818324e-06 1.000000e+00 1.000000e-02 4.909162e-06 6.481370e+00 7.499580e-13 6.606645e+02 1.000000e+00 1.197520e-01 1.197520e-01
2.251000e-02 1.349000e+00 1.500000e-01 7.993333e+00 9.905238e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.904931e+01 4.250151e-16 9.905258e+01 1.000000e+00 4.397627e-02 4.397627e-02
2.251000e-02 1.873000e+00 1.500000e-01 1.148667e+01 1.299865e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.187094e+01 1.559567e-16 1.299868e+00 1.000000e+00 4.202298e-02 4.202298e-02
2.251000e-02 3.882000e-01 1.500000e-01 1.588000e+00 2.611555e+00 2.753676e-05 1.000000e+00 1.000000e-02 1.376838e-05 1.195721e+01 2.791066e-14 4.950681e+02 1.000000e+00 9.539414e-02 9.539414e-02
2.251000e-02 6.560000e-01 1.500000e-01 3.373333e+00 8.649829e-02 1.351199e-04 1.000000e+00 1.000000e-02 6.755994e-05 2.283346e+01 4.182975e-15 3.948081e+02 1.000000e+00 6.815781e-02 6.815781e-02
2.251000e-02 1.441000e+00 1.500000e-01 8.606667e+00 4.679815e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.490539e+01 3.471001e-16 4.679824e+01 1.000000e+00 4.344927e-02 4.344927e-02
2.251000e-02 1.643000e+00 1.500000e-01 9.953333e+00 9.350358e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.233115e+01 2.323875e-16 9.350377e+00 1.000000e+00 4.266726e-02 4.266726e-02
2.251000e-02 4.145000e-01 1.500000e-01 1.763333e+00 1.875421e+00 3.323373e-05 1.000000e+00 1.000000e-02 1.661687e-05 1.171557e+01 2.150573e-14 5.178418e+02 1.000000e+00 9.254967e-02 9.254967e-02
2.251000e-02 9.105000e-01 1.500000e-01 5.070000e+00 5.168198e-03 4.286489e-09 1.000000e+00 1.000000e-02 2.143244e-09 3.180203e+01 1.446305e-15 2.374010e-08 1.000000e+00 5.208195e-02 5.208195e-02
2.251000e-02 7.986000e-01 1.500000e-01 4.324000e+00 1.671192e-02 1.595081e-04 1.000000e+00 1.000000e-02 7.975405e-05 3.071670e+01 2.198039e-15 1.062997e+02 1.000000e+00 5.773842e-02 5.773842e-02
2.251000e-02 2.619000e-01 1.500000e-01 7.460001e-01 1.460426e+01 1.217837e-05 1.000000e+00 1.000000e-02 6.089187e-06 9.557582e+00 1.845715e-13 5.414995e+02 1.000000e+00 1.141831e-01 1.141831e-01
2.251000e-02 2.453000e-01 1.500000e-01 6.353333e-01 1.827445e+01 1.129781e-05 1.000000e+00 1.000000e-02 5.648907e-06 8.154730e+00 2.779445e-13 5.831404e+02 1.000000e+00 1.169870e-01 1.169870e-01
2.251000e-02 1.887000e-01 1.500000e-01 2.580000e-01 3.586133e+01 7.047865e-06 1.000000e+00 1.000000e-02 3.523933e-06 1.330611e+01 3.162503e-12 4.453297e+02 1.000000e+00 1.174094e-01 1.174094e-01
2.251000e-02 1.767000e-01 1.500000e-01 1.780000e-01 3.420593e+01 5.762571e-06 1.000000e+00 1.000000e-02 2.881286e-06 2.039710e+01 1.152694e-11 2.839710e+02 1.000000e+00 1.106841e-01 1.106841e-01
2.251000e-02 7.479000e-01 1.500000e-01 3.986000e+00 2.934610e-02 1.719298e-04 1.000000e+00 1.000000e-02 8.596488e-05 2.867690e+01 2.717738e-15 2.168665e+02 1.000000e+00 6.072004e-02 6.072004e-02
2.251000e-02 4.426000e-01 1.500000e-01 1.950667e+00 1.288681e+00 4.035516e-05 1.000000e+00 1.000000e-02 2.017758e-05 1.226065e+01 1.671776e-14 5.246669e+02 1.000000e+00 8.924580e-02 8.924580e-02
2.251000e-02 2.000000e+00 1.500000e-01 1.233333e+01 4.036731e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.182363e+01 1.277896e-16 4.036739e-01 1.000000e+00 4.198558e-02 4.198558e-02
2.251000e-02 4.726000e-01 1.500000e-01 2.150667e+00 8.574265e-01 4.980533e-05 1.000000e+00 1.000000e-02 2.490266e-05 1.308214e+01 1.309526e-14 5.317267e+02 1.000000e+00 8.562916e-02 8.562916e-02
2.251000e-02 3.636000e-01 1.500000e-01 1.424000e+00 3.648402e+00 2.327740e-05 1.000000e+00 1.000000e-02 1.163870e-05 1.147970e+01 3.659915e-14 4.942100e+02 1.000000e+00 9.903585e-02 9.903585e-02
2.251000e-02 2.986000e-01 1.500000e-01 9.906666e-01 8.890290e+00 1.512600e-05 1.000000e+00 1.000000e-02 7.563001e-06 1.019068e+01 9.036706e-14 5.085155e+02 1.000000e+00 1.085439e-01 1.085439e-01
2.251000e-02 3.405000e-01 1.500000e-01 1.270000e+00 4.984981e+00 1.981434e-05 1.000000e+00 1.000000e-02 9.907168e-06 1.111841e+01 4.864635e-14 4.892858e+02 1.000000e+00 1.017115e-01 1.017115e-01
2.251000e-02 1.264000e+00 1.500000e-01 7.426667e+00 2.010227e-04 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 4.709052e+01 5.193676e-16 2.010231e+02 1.000000e+00 4.482608e-02 4.482608e-02
2.251000e-02 1.108000e+00 1.500000e-01 6.386667e+00 7.812349e-04 9.979913e-09 1.000000e+00 1.000000e-02 4.989957e-09 3.180203e+01 7.811454e-16 1.945249e-08 1.000000e+00 4.679599e-02 4.679599e-02
2.251000e-02 5.753000e-01 1.500000e-01 2.835333e+00 2.336559e-01 9.135717e-05 1.000000e+00 1.000000e-02 4.567858e-05 1.776455e+01 6.520709e-15 4.875308e+02 1.000000e+00 7.507097e-02 7.507097e-02
2.251000e-02 2.797000e-01 1.500000e-01 8.646667e-01 1.132514e+01 1.352660e-05 1.000000e+00 1.000000e-02 6.763301e-06 1.001550e+01 1.271232e-13 5.180373e+02 1.000000e+00 1.114903e-01 1.114903e-01
2.251000e-02 1.038000e+00 1.500000e-01 5.920000e+00 1.491718e-03 1.034125e-10 1.000000e+00 1.000000e-02 5.170625e-11 3.180203e+01 9.574760e-16 3.988163e-12 1.000000e+00 4.809970e-02 4.809970e-02
2.251000e-02 5.388000e-01 1.500000e-01 2.592000e+00 3.678485e-01 7.458658e-05 1.000000e+00 1.000000e-02 3.729329e-05 1.594489e+01 8.186175e-15 5.115999e+02 1.000000e+00 7.813152e-02 7.813152e-02
2.251000e-02 6.143000e-01 1.500000e-01 3.095333e+00 1.433142e-01 1.117429e-04 1.000000e+00 1.000000e-02 5.587146e-05 2.013335e+01 5.214560e-15 4.473725e+02 1.000000e+00 7.145824e-02 7.145824e-02
2.251000e-02 8.527000e-01 1.500000e-01 4.684667e+00 9.395574e-03 1.173206e-04 1.000000e+00 1.000000e-02 5.866031e-05 3.164945e+01 1.781624e-15 3.233047e+01 1.000000e+00 5.479661e-02 5.479661e-02
2.251000e-02 2.297000e-01 1.500000e-01 5.313333e-01 2.256576e+01 1.047191e-05 1.000000e+00 1.000000e-02 5.235956e-06 7.264596e+00 4.409149e-13 6.186455e+02 1.000000e+00 1.188316e-01 1.188316e-01
2.251000e-02 7.004000e-01 1.500000e-01 3.669333e+00 5.122981e-02 1.596197e-04 1.000000e+00 1.000000e-02 7.980987e-05 2.577347e+01 3.368057e-15 3.263142e+02 1.000000e+00 6.448055e-02 6.448055e-02
2.251000e-02 3.189000e-01 1.500000e-01 1.126000e+00 6.795534e+00 1.721651e-05 1.000000e+00 1.000000e-02 8.608256e-06 1.061266e+01 6.563771e-14 5.035631e+02 1.000000e+00 1.056205e-01 1.056205e-01
2.251000e-02 9.722000e-01 1.500000e-01 5.481333e+00 2.752056e-03 4.948288e-10 1.000000e+00 1.000000e-02 2.474144e-10 3.180203e+01 1.175893e-15 1.684641e-10 1.000000e+00 4.979468e-02 4.979468e-02
2.251000e-02 5.046000e-01 1.500000e-01 2.364000e+00 5.733601e-01 5.957136e-05 1.000000e+00 1.000000e-02 2.978568e-05 1.448530e+01 1.032629e-14 5.086774e+02 1.000000e+00 8.226103e-02 8.226103e-02
2.251000e-02 2.015000e-01 1.500000e-01 3.433333e-01 3.263281e+01 8.628958e-06 1.000000e+00 1.000000e-02 4.314479e-06 8.417608e+00 1.409237e-12 6.074508e+02 1.000000e+00 1.199829e-01 1.199829e-01
2.251000e-02 1.539000e+00 1.500000e-01 9.260000e+00 2.154584e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.315022e+01 2.837708e-16 2.154588e+01 1.000000e+00 4.327453e-02 4.327453e-02
2.000000e-02 1.887000e-01 1.500000e-01 2.580000e-01 4.244681e+01 6.645501e-06 1.000000e+00 1.000000e-02 3.322750e-06 1.245167e+01 2.444100e-12 4.686413e+02 1.000000e+00 1.177429e-01 1.177429e-01
2.251000e-02 1.655000e-01 1.500000e-01 1.033333e-01 1.428308e+01 9.336646e-06 1.000000e+00 1.000000e-02 4.668323e-06 2.373448e+01 7.513154e-04 3.112747e+02 9.996912e-01 1.014856e-01 1.014543e-01
