180 1.016921e-05 2.028708e-05 2.045686e-05 1.331972e-05 3.367194e-05 6.911882e-05 2.821573e-05 6.017187e-05 5.798268e-05 1.353754e-04 1.220049e-04 3.186542e-04 6.541598e-04 1.113134e-03 1.613244e-03 3.606899e-03 6.610332e-03 2.238613e-02 1.246911e-01 7.940730e+00
270 1.164850e-05 1.514729e-05 1.482578e-05 1.067524e-05 1.860705e-05 3.129424e-05 6.135027e-05 5.894158e-05 1.195060e-04 1.591725e-04 3.535243e-04 4.192158e-04 6.895471e-04 1.312228e-03 1.914244e-03 4.606707e-03 1.005226e-02 2.604810e-02 7.764847e-02 5.897578e-01
883 3.341065e-11 2.365319e-11 7.318542e-11 8.252345e-11 9.788953e-11 1.116170e-10 1.106098e-10 2.135925e-10 2.077416e-10 2.684544e-10 3.246569e-10 4.344203e-10 7.109898e-10 7.208791e-10 1.138862e-09 1.590438e-09 2.582402e-09 5.671138e-09 2.767161e-08 1.975212e-06
1060 1.342334e-08 1.534336e-08 2.111223e-08 2.400834e-08 2.397850e-08 2.818940e-08 3.971610e-08 4.281649e-08 5.588563e-08 7.377557e-08 7.763596e-08 8.885776e-08 1.393144e-07 1.890216e-07 2.587815e-07 3.688722e-07 9.320868e-07 1.543677e-06 6.583998e-06 2.097605e-04
1235 9.580393e-09 2.656884e-08 2.693103e-08 4.137405e-08 8.088281e-08 9.825279e-08 7.340254e-08 8.632370e-08 1.221338e-07 1.823603e-07 1.808632e-07 2.100688e-07 3.127387e-07 3.709250e-07 5.720646e-07 5.851177e-07 8.500877e-07 1.284281e-06 2.159822e-06 2.771159e-05
1442 1.142578e-15 1.189042e-15 1.477056e-15 1.557628e-15 1.741769e-15 1.694405e-15 2.018724e-15 2.604001e-15 2.711650e-15 3.093631e-15 3.474765e-15 4.295651e-15 4.831686e-15 6.530529e-15 7.870987e-15 1.034851e-14 1.449877e-14 2.341468e-14 7.019105e-14 2.042633e-12
1485 4.097919e-15 3.592165e-15 4.350552e-15 5.546491e-15 5.760882e-15 6.347708e-15 7.010085e-15 7.853279e-15 9.552536e-15 1.117715e-14 1.511230e-14 1.651336e-14 1.887781e-14 2.263337e-14 2.698304e-14 3.664546e-14 4.752533e-14 8.566042e-14 2.418746e-13 6.710679e-12
1123 9.962181e-13 1.143474e-12 1.069069e-12 1.248371e-12 1.895813e-12 2.184067e-12 2.442095e-12 2.644225e-12 3.514729e-12 3.798039e-12 5.159877e-12 6.414962e-12 8.159145e-12 9.556000e-12 1.272233e-11 1.777010e-11 2.612303e-11 5.759359e-11 1.677958e-10 7.701086e-09
782 4.651913e-08 6.957580e-08 2.683787e-08 7.383511e-08 9.612301e-08 6.397102e-08 1.200638e-07 1.654673e-07 1.302914e-07 2.023287e-07 2.502611e-07 3.728961e-07 5.215502e-07 1.071091e-06 1.821876e-06 1.776382e-06 1.040507e-05 2.929849e-05 2.149510e-04 5.035606e-03
227 1.139705e-05 9.249185e-06 1.448886e-05 1.188337e-05 2.169262e-05 4.905058e-05 5.812359e-05 5.463880e-05 1.060092e-04 1.932858e-04 4.315844e-04 4.154740e-04 8.081067e-04 1.075911e-03 2.524589e-03 6.116418e-03 1.503553e-02 4.549384e-02 1.902649e-01 2.154324e+00
876 1.609220e-28 7.405478e-10 2.761001e-09 0.000000e+00 0.000000e+00 1.097642e-10 3.922091e-10 7.534072e-10 7.880253e-09 1.487671e-10 4.468192e-10 4.921594e-08 6.594917e-09 1.063766e-08 1.060975e-07 1.338904e-07 2.812127e-07 1.278778e-06 1.633612e-05 7.428489e-04
1227 3.179342e-08 5.609828e-08 3.944004e-08 6.229688e-08 5.975885e-08 8.226097e-08 8.300632e-08 9.909080e-08 9.873484e-08 1.755354e-07 2.757855e-07 3.165671e-07 2.548502e-07 4.537817e-07 9.390682e-07 1.251478e-06 3.189222e-06 6.551488e-06 1.834343e-05 1.614073e-04
442 8.603103e-11 4.844428e-12 3.542274e-11 2.658960e-10 4.125878e-10 3.144076e-10 2.562864e-10 1.214554e-10 1.948917e-10 4.743347e-10 4.966114e-09 9.056898e-10 1.457752e-09 2.073882e-09 2.651656e-09 5.333547e-09 1.637671e-08 3.101074e-08 3.144321e-07 1.342611e-04
576 4.663233e-09 4.791956e-09 4.312280e-08 8.817646e-09 2.169235e-08 8.583725e-08 5.105028e-08 3.220047e-08 7.922366e-08 5.556285e-08 1.865418e-07 2.566234e-07 3.003636e-07 4.195947e-07 5.732918e-07 1.159502e-06 1.969551e-06 1.071557e-05 3.723088e-05 7.748057e-03
1321 5.839267e-15 8.202644e-15 7.586821e-15 9.000440e-15 1.017113e-14 1.104601e-14 1.375058e-14 1.480480e-14 1.669841e-14 1.780951e-14 2.239332e-14 2.907405e-14 3.464974e-14 4.349263e-14 5.423590e-14 7.264395e-14 9.391532e-14 1.770900e-13 5.398433e-13 1.695072e-11
201 2.125337e-10 2.210283e-10 9.986600e-10 1.095358e-10 1.994210e-10 1.717450e-11 1.380386e-11 4.753032e-11 1.213896e-09 1.580600e-09 2.135500e-09 3.692582e-10 1.007853e-09 4.523252e-09 1.706101e-08 1.276796e-08 4.455834e-08 1.248258e-07 3.045048e-06 3.138210e-03
591 6.515397e-07 1.115724e-06 2.412239e-06 7.677620e-07 5.488891e-06 2.650597e-06 4.699261e-06 7.335911e-06 9.452796e-06 1.947551e-05 2.682608e-05 3.890819e-05 6.782141e-05 1.089984e-04 1.906087e-04 4.323998e-04 9.593782e-04 2.583528e-03 7.918382e-03 7.835402e-02
