# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 1.986000e-01 1.891429e-01 5.000000e-02 1.331344e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.136268e+07 1.331347e-05 9.432419e-02 3.175594e-07
1.250000e+00 4.488000e-01 4.274286e-01 5.000000e-02 1.341544e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180199e+01 3.560981e+05 1.341546e-03 9.585816e-02 4.033513e-05
1.250000e+00 1.007000e-01 9.590476e-02 5.000000e-02 2.275359e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.807262e+08 2.275364e-07 9.540096e-02 5.122647e-09
1.250000e+00 1.014000e+00 9.657143e-01 5.000000e-02 1.326227e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180119e+01 6.018454e+03 1.326230e-02 1.046309e-01 2.133205e-03
1.250000e+00 8.852000e-01 8.430476e-01 5.000000e-02 1.265944e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180134e+01 1.188016e+04 1.265946e-02 1.026203e-01 1.325623e-03
1.250000e+00 4.457000e-02 4.244762e-02 5.000000e-02 1.168101e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.058035e+10 1.168104e-09 9.412512e-02 2.592588e-11
1.250000e+00 7.727000e-01 7.359048e-01 5.000000e-02 1.036180e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180152e+01 2.345088e+04 1.036182e-02 1.008699e-01 7.247552e-04
1.250000e+00 2.606000e-01 2.464815e-01 5.728000e-02 2.143605e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.876116e+06 2.143609e-04 9.535925e-02 3.293516e-06
1.250000e+00 2.986000e-01 2.824228e-01 5.728000e-02 4.320568e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180202e+01 1.452093e+06 4.320576e-04 9.584515e-02 7.504535e-06
1.250000e+00 4.457000e-02 4.215534e-02 5.728000e-02 4.259188e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.827203e+10 4.259196e-09 9.497664e-02 6.072469e-11
1.250000e+00 1.321000e-01 1.249433e-01 5.728000e-02 3.300640e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 8.841356e+07 3.300647e-06 9.552663e-02 5.411047e-08
1.250000e+00 5.105000e-02 4.828428e-02 5.728000e-02 9.071575e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.302143e+10 9.071593e-09 9.463906e-02 1.478054e-10
1.250000e+00 1.524000e+00 1.441435e+00 5.728000e-02 3.875325e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180170e+01 4.148311e+02 3.875333e-03 1.119125e-01 3.545568e-03
1.250000e+00 5.889000e-01 5.569953e-01 5.728000e-02 1.107344e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180157e+01 4.836927e+04 1.107346e-02 9.904308e-02 3.694936e-04
1.250000e+00 1.734000e-01 1.640058e-01 5.728000e-02 1.811404e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.230964e+07 1.811408e-05 9.581672e-02 2.926323e-07
1.250000e+00 3.420000e-01 3.234716e-01 5.728000e-02 1.050933e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180200e+01 7.354211e+05 1.050936e-03 9.667434e-02 1.792436e-05
1.250000e+00 2.275000e-01 2.151748e-01 5.728000e-02 8.903264e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.687895e+06 8.903281e-05 9.573135e-02 1.490233e-06
1.250000e+00 1.153000e-01 1.090534e-01 5.728000e-02 1.565076e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.766777e+08 1.565079e-06 9.682282e-02 2.501903e-08
1.250000e+00 1.986000e-01 1.878405e-01 5.728000e-02 4.130171e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.126301e+07 4.130180e-05 9.682486e-02 6.783461e-07
1.250000e+00 6.746000e-01 6.380524e-01 5.728000e-02 1.631185e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180129e+01 2.451643e+04 1.631189e-02 9.998122e-02 6.905298e-04
1.250000e+00 1.746000e+00 1.651407e+00 5.728000e-02 1.506877e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180189e+01 2.099802e+02 1.506880e-03 1.134483e-01 4.593607e-03
1.250000e+00 7.674000e-02 7.258247e-02 5.728000e-02 1.285018e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.445460e+09 1.285020e-07 9.534297e-02 1.931948e-09
1.250000e+00 3.891000e-02 3.680198e-02 5.728000e-02 1.401109e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.380696e+10 1.401112e-09 9.428010e-02 2.335135e-11
1.250000e+00 5.848000e-02 5.531174e-02 5.728000e-02 2.362992e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.153096e+09 2.362996e-08 9.479184e-02 3.602732e-10
1.250000e+00 1.014000e+00 9.590648e-01 5.728000e-02 2.120026e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180060e+01 3.189307e+03 2.120031e-02 1.060918e-01 3.055797e-03
1.250000e+00 2.000000e+00 1.891646e+00 5.728000e-02 3.922561e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180199e+01 1.062986e+02 3.922569e-04 1.152136e-01 8.736825e-03
1.250000e+00 3.396000e-02 3.212016e-02 5.728000e-02 5.362068e-16 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.529839e+11 5.362079e-10 9.323438e-02 8.569602e-12
1.250000e+00 7.727000e-01 7.308376e-01 5.728000e-02 2.106735e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180093e+01 1.242907e+04 2.106739e-02 1.016851e-01 1.305540e-03
1.250000e+00 1.331000e+00 1.258891e+00 5.728000e-02 8.782310e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180129e+01 8.173604e+02 8.782328e-03 1.111036e-01 3.762726e-03
1.250000e+00 1.972000e-02 1.865163e-02 5.728000e-02 3.308974e-19 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.452195e+14 3.308981e-13 9.152656e-02 4.744985e-15
1.250000e+00 5.141000e-01 4.862477e-01 5.728000e-02 7.207876e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180174e+01 9.547192e+04 7.207891e-03 9.845406e-02 1.744186e-04
1.250000e+00 3.918000e-01 3.705735e-01 5.728000e-02 2.019805e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180197e+01 3.721093e+05 2.019809e-03 9.649107e-02 3.787817e-05
1.250000e+00 4.488000e-01 4.244855e-01 5.728000e-02 3.620783e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180191e+01 1.884428e+05 3.620791e-03 9.676654e-02 8.228600e-05
1.250000e+00 1.007000e-01 9.524440e-02 5.728000e-02 6.404997e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.534044e+08 6.405009e-07 9.541455e-02 1.094413e-08
1.250000e+00 8.790000e-02 8.313786e-02 5.728000e-02 3.004937e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.124598e+08 3.004943e-07 9.660727e-02 4.612391e-09
