# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geom eff_selection eff_total
1.675000e-01 4.924000e-01 6.429225e-05 1.924987e-03 2.722337e-03 8.000000e-04 1.924983e-03 1.975953e+01 1.306801e-07 2.382397e+02 9.129936e-02 1.452948e-02 4.166513e-05
2.000000e-02 4.924000e-01 1.068808e-03 6.842239e-04 9.676385e-04 8.000000e-04 6.842237e-04 1.591158e+01 1.417827e-08 5.003757e+02 1.290205e-01 2.959617e-02 6.741649e-05
4.062000e-02 7.897000e-01 2.341264e-05 2.290108e-03 3.238693e-03 8.000000e-04 2.290102e-03 2.983117e+01 1.266919e-09 1.227898e+02 1.785430e-01 1.954288e-02 4.535263e-05
4.309000e-01 2.285000e-02 3.456083e-11 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180163e+01 4.327767e+08 3.456429e-03 3.473578e-02 4.112080e-02 6.730457e-11
1.247000e+00 1.914000e-01 1.211712e-09 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179401e+01 7.203896e+05 1.211833e-01 3.240168e-02 2.254812e-02 1.259196e-07
1.675000e-01 2.894000e-02 1.963979e-07 9.999167e-03 1.414025e-02 8.000000e-04 9.998668e-03 2.984045e+01 2.916949e+06 1.963652e+01 5.569747e-02 4.221907e-02 1.740649e-08
4.062000e-02 2.424000e-01 1.205441e-02 2.044272e-04 2.891037e-04 8.000000e-04 2.044272e-04 8.860769e+00 5.511242e-06 5.037595e+02 1.451079e-01 3.509935e-02 6.573713e-05
5.789000e-02 1.000000e-02 8.459268e-07 9.999167e-03 1.414025e-02 8.000000e-04 9.998668e-03 2.433271e+01 8.763389e+06 8.457860e+01 1.303324e-01 3.851508e-02 4.036498e-09
1.323000e-01 5.223000e-02 1.227724e-05 5.602812e-03 7.923448e-03 8.000000e-04 5.602724e-03 1.538970e+01 1.762165e+05 3.854008e+02 5.784119e-02 4.047265e-02 5.802496e-07
2.000000e+00 3.070000e-01 6.483165e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179886e+01 4.507379e+05 6.483814e+01 1.426643e-05 1.019543e-02 5.634597e-04
1.176000e-01 7.017000e-01 2.958295e-05 2.700117e-03 3.818527e-03 8.000000e-04 2.700107e-03 2.500016e+01 1.092252e-08 2.156783e+02 1.230202e-01 2.277969e-02 7.622588e-05
3.207000e-02 1.061000e-01 4.939876e-02 1.065271e-04 1.506520e-04 8.000000e-04 1.065271e-04 8.942985e+00 1.540168e-04 5.605778e+02 1.435627e-01 4.309374e-02 6.383856e-05
9.283000e-02 3.888000e-01 8.601613e-04 6.671644e-04 9.435127e-04 8.000000e-04 6.671642e-04 1.658280e+01 6.596209e-07 3.828649e+02 1.146627e-01 2.764700e-02 6.629115e-05
4.062000e-02 2.572000e-02 1.024019e-04 1.651388e-03 2.335412e-03 8.000000e-04 1.651386e-03 1.811438e+01 5.148198e+05 2.792584e+02 1.033232e-01 3.892935e-02 2.113960e-07
2.000000e+00 6.236000e-01 5.914310e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179601e+01 1.241093e+04 5.914902e+00 5.736130e-04 4.806469e-03 1.850683e-04
6.141000e-01 1.266000e-02 5.248351e-14 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 3.450514e+10 5.248876e-06 3.354333e-02 4.072140e-02 3.747710e-13
1.777000e+00 2.572000e-02 3.546157e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 6.926208e+10 3.546512e+02 8.245865e-12 3.832592e-02 1.269749e-03
2.000000e-02 9.427000e-02 1.335529e-01 5.804925e-05 8.209404e-05 8.000000e-04 5.804925e-05 1.275042e+01 2.826509e-04 4.500353e+02 1.820632e-01 3.826212e-02 6.811614e-05
2.687000e-01 4.375000e-01 1.384662e-05 2.803855e-03 3.965235e-03 8.000000e-04 2.803844e-03 2.684632e+01 3.195911e-07 1.088567e+02 6.240784e-02 6.183722e-03 1.906190e-05
1.323000e-01 9.427000e-02 7.574523e-05 2.241190e-03 3.169514e-03 8.000000e-04 2.241185e-03 1.901675e+01 4.298894e+04 3.804633e+02 6.405673e-02 4.093918e-02 3.364529e-06
3.024000e-01 4.642000e-02 4.051827e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.135866e+01 2.951913e+06 4.052232e+00 5.307748e-02 3.735003e-02 2.393947e-08
2.388000e-01 2.728000e-01 4.621016e-05 1.597418e-03 2.259087e-03 8.000000e-04 1.597416e-03 2.476765e+01 1.578590e-05 1.179165e+02 6.217138e-02 8.187052e-03 2.063299e-05
1.045000e-01 1.805000e-02 3.715490e-07 9.999167e-03 1.414025e-02 8.000000e-04 9.998668e-03 2.825878e+01 4.753647e+06 3.714871e+01 7.424659e-02 3.753574e-02 8.195281e-09
7.330000e-02 1.000000e+00 2.053369e-06 1.064971e-08 1.506096e-08 8.000000e-04 1.064971e-08 3.180203e+01 9.392451e+01 2.328855e-10 1.764464e-01 1.331579e-02 3.994259e-05
1.579000e+00 4.642000e-02 4.305735e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 2.244062e+09 4.306166e+02 4.804449e-10 3.991369e-02 1.023065e-03
1.403000e+00 1.805000e-02 7.237967e-16 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 1.588610e+11 7.238691e-08 3.629319e-02 4.421362e-02 1.105876e-13
8.249000e-02 2.894000e-02 1.614826e-05 5.796454e-03 8.197286e-03 8.000000e-04 5.796357e-03 1.667264e+01 4.844456e+05 5.425633e+02 8.195823e-02 4.627746e-02 1.970347e-07
6.141000e-01 3.070000e-01 1.291716e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 2.448608e+01 3.432551e+03 1.291845e+02 3.834078e-02 1.112161e-02 1.353034e-05
6.910000e-01 6.236000e-01 1.738465e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.147400e+01 8.509957e+01 1.738639e+01 3.922517e-02 4.883707e-03 1.345462e-05
3.207000e-02 7.017000e-01 7.285148e-05 1.996312e-03 2.823206e-03 8.000000e-04 1.996308e-03 2.655430e+01 1.482528e-09 2.903322e+02 1.493230e-01 2.292505e-02 5.726156e-05
2.122000e-01 7.017000e-01 7.079095e-06 4.315539e-03 6.103037e-03 8.000000e-04 4.315499e-03 2.660159e+01 1.421943e-08 1.318402e+02 1.052472e-01 1.474009e-02 5.111806e-05
4.571000e-02 6.615000e-02 2.679434e-02 1.229471e-04 1.738734e-04 8.000000e-04 1.229471e-04 1.113172e+01 1.774375e-03 4.050227e+02 1.021265e-01 4.113126e-02 7.300383e-05
9.848000e-01 6.615000e-02 3.456888e-11 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180172e+01 5.737696e+07 3.457233e-03 2.864869e-02 3.942634e-02 1.375780e-09
9.283000e-02 8.886000e-01 5.702877e-06 2.983399e-03 4.219144e-03 8.000000e-04 2.983386e-03 3.123702e+01 2.737261e-09 5.075941e+01 1.465248e-01 1.680641e-02 5.317255e-05
8.249000e-02 2.424000e-01 2.770682e-03 4.254632e-04 6.016957e-04 8.000000e-04 4.254631e-04 8.577556e+00 5.438311e-06 5.015457e+02 8.700958e-02 3.220423e-02 5.865248e-05
8.751000e-01 9.427000e-02 6.108474e-10 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179672e+01 6.092216e+06 6.109085e-02 3.395900e-02 3.601284e-02 1.581521e-08
5.789000e-02 2.285000e-02 2.334484e-05 4.861789e-03 6.875527e-03 8.000000e-04 4.861731e-03 1.499212e+01 5.326467e+05 5.518018e+02 9.101857e-02 3.810865e-02 1.107420e-07
6.910000e-01 7.444000e-02 9.641366e-10 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179424e+01 7.664541e+06 9.642330e-02 3.510547e-02 3.634570e-02 1.027480e-08
8.751000e-01 1.266000e-02 4.419471e-15 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 1.430162e+11 4.419913e-07 2.773230e-02 4.289814e-02 1.056064e-13
1.247000e+00 9.427000e-02 3.175346e-11 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180174e+01 2.514275e+07 3.175663e-03 3.203822e-02 3.812433e-02 3.108011e-09
