# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 3.420000e-01 3.257143e-01 5.000000e-02 6.482478e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.160327e+01 8.898944e+03 6.482491e+00 9.608497e-02 9.859302e-04
1.250000e+00 8.790000e-02 8.371428e-02 5.000000e-02 2.432230e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180199e+01 8.836957e+06 2.432235e-03 9.288827e-02 3.570362e-07
1.250000e+00 3.891000e-02 3.705714e-02 5.000000e-02 1.226089e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 9.245924e+08 1.226091e-05 9.452890e-02 1.482592e-09
1.250000e+00 2.275000e-01 2.166667e-01 5.000000e-02 8.175897e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.177801e+01 6.893121e+04 8.175913e-01 9.583939e-02 1.121326e-04
1.250000e+00 2.965000e-02 2.823810e-02 5.000000e-02 1.206766e-12 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 7.519340e+09 1.206768e-06 9.228630e-02 1.319596e-10
1.250000e+00 3.918000e-01 3.731428e-01 5.000000e-02 1.068529e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.146979e+01 4.502290e+03 1.068531e+01 9.614714e-02 1.695206e-03
1.250000e+00 1.014000e+00 9.657143e-01 5.000000e-02 5.384856e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.147348e+01 3.851866e+01 5.384867e+00 1.041810e-01 1.874022e-02
1.250000e+00 5.889000e-01 5.608572e-01 5.000000e-02 1.348395e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.126891e+01 5.846111e+02 1.348398e+01 9.848001e-02 3.217222e-03
1.250000e+00 1.524000e+00 1.451429e+00 5.000000e-02 1.019121e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.172034e+01 5.013837e+00 1.019123e+00 1.096445e-01 9.415023e-02
1.250000e+00 4.488000e-01 4.274286e-01 5.000000e-02 1.333541e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.139348e+01 2.278593e+03 1.333544e+01 9.619222e-02 2.454342e-03
1.250000e+00 8.852000e-01 8.430476e-01 5.000000e-02 7.130304e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.144410e+01 7.601722e+01 7.130318e+00 1.011149e-01 8.829664e-03
1.250000e+00 1.734000e-01 1.651429e-01 5.000000e-02 1.546549e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179765e+01 2.713543e+05 1.546552e-01 9.553705e-02 2.226682e-05
1.250000e+00 1.986000e-01 1.891429e-01 5.000000e-02 3.581340e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179189e+01 1.366696e+05 3.581348e-01 9.546603e-02 4.938384e-05
1.250000e+00 1.514000e-01 1.441905e-01 5.000000e-02 7.501183e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180016e+01 5.396113e+05 7.501198e-02 9.455887e-02 9.331303e-06
1.250000e+00 4.457000e-02 4.244762e-02 5.000000e-02 3.012381e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 3.875880e+08 3.012387e-05 9.476354e-02 3.891598e-09
1.250000e+00 1.746000e+00 1.662857e+00 5.000000e-02 3.703038e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.177019e+01 2.538455e+00 3.703046e-01 1.116424e-01 9.566586e-02
1.250000e+00 2.986000e-01 2.843809e-01 5.000000e-02 3.710502e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.169500e+01 1.758707e+04 3.710509e+00 9.571400e-02 5.171109e-04
1.250000e+00 2.588000e-02 2.464762e-02 5.000000e-02 2.076677e-13 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 3.396878e+10 2.076682e-07 9.107929e-02 2.637789e-11
1.250000e+00 5.848000e-02 5.569524e-02 5.000000e-02 2.179480e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 7.939121e+07 2.179484e-04 9.560458e-02 2.367120e-08
