# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events
6.514000e-02 1.125000e-02 2.728680e-04 1.394505e-03 1.972126e-03 1.000000e-02 1.394504e-03 1.278081e+01 2.556845e+06 5.306314e+02
2.122000e-01 3.455000e-01 8.043700e-03 1.242297e-04 1.756874e-04 1.000000e-02 1.242297e-04 2.314774e+01 2.063363e-04 1.241386e+02
3.207000e-02 8.377000e-02 9.264443e+00 7.707834e-06 1.090052e-05 1.000000e-02 7.707834e-06 9.854819e+00 6.202308e-02 5.504071e+02
3.403000e-01 6.615000e-02 8.711099e-05 1.891344e-03 2.674759e-03 1.000000e-02 1.891340e-03 1.892151e+01 1.426764e+05 3.116118e+02
7.776000e-01 4.125000e-02 1.219577e-19 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 3.459575e+18 5.314227e-24
3.024000e-01 2.572000e-02 1.288666e-05 6.667906e-03 9.429633e-03 1.000000e-02 6.667758e-03 1.243942e+01 8.267023e+05 5.729533e+02
1.777000e+00 5.878000e-02 4.172074e-29 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 7.034131e+26 4.173220e-41
2.251000e-02 4.924000e-01 1.631231e-01 4.649610e-05 6.575541e-05 1.000000e-02 4.649610e-05 1.846544e+01 3.890350e-06 3.526537e+02
9.848000e-01 1.061000e-01 4.522354e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 7.867571e+16 1.970587e-22
4.849000e-01 3.257000e-02 1.209974e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.694352e+18 5.272386e-23
1.777000e+00 8.377000e-02 2.437880e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.190213e+26 2.438550e-40
5.789000e-02 1.194000e-01 2.094590e+00 1.611065e-05 2.278390e-05 1.000000e-02 1.611065e-05 7.036483e+00 1.751377e-02 5.436571e+02
2.000000e+00 1.000000e-02 2.554936e-34 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 8.076276e+30 2.555638e-46
1.045000e-01 2.154000e-01 2.298851e-01 4.198581e-05 5.937690e-05 1.000000e-02 4.198581e-05 1.235144e+01 1.429034e-03 4.052435e+02
1.247000e+00 7.444000e-02 1.948775e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.006406e+01 5.221783e+05 1.948435e+01
1.323000e-01 6.236000e-01 7.232616e-03 1.795673e-04 2.539464e-04 1.000000e-02 1.795673e-04 2.156270e+01 4.466334e-06 2.332114e+02
3.207000e-02 4.125000e-02 9.170810e+00 7.287496e-06 1.030608e-05 1.000000e-02 7.287496e-06 8.239836e+00 1.583582e+00 4.870397e+02
