# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
1.045000e-01 4.375000e-01 6.124959e-06 8.177004e-03 1.156364e-02 1.000000e-04 8.176731e-03 1.379813e+01 3.905965e-09 4.095356e+02 1.000000e+00
5.457000e-01 4.375000e-01 6.255564e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.617573e+24 6.257281e-41 5.204986e-02
2.000000e-02 1.604000e-02 3.596087e-18 6.601088e-09 9.335348e-09 1.000000e-04 6.601088e-09 3.180203e+01 1.008963e+18 1.566972e-22 1.018045e-02
5.457000e-01 7.897000e-01 1.105372e-10 6.601086e-09 9.335346e-09 1.000000e-04 6.601086e-09 3.180203e+01 5.157909e+04 4.816584e-15 4.174384e-02
2.687000e-01 1.061000e-01 2.999826e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.738145e+26 3.000649e-41 5.144550e-02
5.457000e-01 1.701000e-01 1.277642e-30 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.922805e+26 1.277993e-42 6.969722e-02
3.207000e-02 1.914000e-01 4.622561e-04 1.044667e-03 1.477381e-03 1.000000e-04 1.044666e-03 8.296694e+00 2.672454e-07 5.044736e+02 1.000000e+00
1.777000e+00 1.266000e-02 1.662843e-41 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.006849e+34 1.663299e-53 2.794018e-01
4.309000e-01 3.455000e-01 2.043150e-28 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.042135e+24 2.043711e-40 4.638747e-02
1.885000e-01 1.061000e-01 5.059577e-28 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.735415e+25 5.060966e-40 4.057697e-02
1.675000e-01 2.572000e-02 2.525261e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.423685e+28 2.525955e-43 3.924141e-02
4.849000e-01 3.455000e-01 7.078084e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.802540e+24 7.080027e-41 5.285701e-02
1.323000e-01 9.427000e-02 2.004154e-19 6.601088e-09 9.335348e-09 1.000000e-04 6.601088e-09 3.180203e+01 3.174687e+17 8.732971e-24 3.160702e-02
1.675000e-01 1.805000e-02 2.955207e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.035156e+29 2.956019e-44 3.998909e-02
5.789000e-02 1.512000e-01 1.808258e-04 1.660292e-03 2.348005e-03 1.000000e-04 1.660290e-03 6.871501e+00 7.407717e-07 4.984590e+02 1.000000e+00
4.571000e-02 1.425000e-02 9.319969e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.501672e+27 9.322528e-41 1.602990e-02
1.489000e-01 1.343000e-01 1.569285e-06 9.898894e-03 1.399846e-02 1.000000e-04 9.898409e-03 1.753643e+01 2.595791e+04 1.537712e+02 3.433502e-02
3.403000e-01 6.236000e-01 3.331156e-08 8.306155e-03 1.174627e-02 1.000000e-04 8.305868e-03 3.176775e+01 1.745267e-08 2.298238e+00 1.000000e+00
1.403000e+00 3.665000e-02 7.474248e-38 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.480591e+31 7.476300e-50 1.825239e-01
2.687000e-01 1.266000e-02 9.346159e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 8.084475e+30 9.348725e-47 5.400806e-02
2.687000e-01 1.000000e-02 2.313677e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.659780e+31 2.314312e-47 5.167979e-02
3.207000e-02 7.017000e-01 1.155470e-06 9.568108e-03 1.353073e-02 1.000000e-04 9.567671e-03 2.806265e+01 6.450983e-11 1.057818e+02 1.000000e+00
6.910000e-01 2.894000e-02 7.066841e-36 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 5.613012e+30 7.068781e-48 9.886901e-02
6.910000e-01 5.878000e-02 5.013446e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.614136e+29 5.014823e-46 9.576716e-02
3.024000e-01 5.541000e-01 7.270569e-08 9.482617e-03 1.340984e-02 1.000000e-04 9.482191e-03 3.139408e+01 1.507526e-08 6.537698e+00 1.000000e+00
4.571000e-02 1.061000e-01 3.748966e-04 1.205217e-03 1.704433e-03 1.000000e-04 1.205216e-03 6.170003e+00 2.627006e-06 5.445552e+02 1.000000e+00
2.251000e-02 1.604000e-02 3.062432e-06 9.861135e-03 1.394507e-02 1.000000e-04 9.860656e-03 9.172326e+00 8.421539e+05 2.977970e+02 1.116481e-02
3.829000e-01 3.070000e-01 3.607333e-28 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.295651e+24 3.608323e-40 4.271103e-02
1.403000e+00 1.701000e-01 4.397546e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.140849e+28 4.398753e-46 1.605816e-01
1.176000e-01 1.425000e-02 9.987000e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.617203e+29 9.989742e-44 3.190820e-02
6.141000e-01 4.375000e-01 2.242664e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.011673e+24 2.243280e-41 6.083590e-02
9.283000e-02 1.343000e-01 4.530656e-05 3.087882e-03 4.366904e-03 1.000000e-04 3.087868e-03 9.844993e+00 1.387807e-06 4.319988e+02 1.000000e+00
1.675000e-01 5.223000e-02 1.838911e-29 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 9.425199e+26 1.839415e-41 3.887460e-02
1.323000e-01 1.266000e-02 1.992065e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 4.717730e+29 1.992612e-44 3.457838e-02
1.108000e+00 5.541000e-01 2.852223e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.171595e+25 2.853006e-43 9.906027e-02
9.848000e-01 1.125000e-02 1.343362e-39 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.608603e+33 1.343731e-51 1.195882e-01
3.829000e-01 1.000000e+00 7.004137e-10 4.546306e-09 6.429447e-09 1.000000e-04 4.546306e-09 3.180203e+01 1.494068e+04 1.447678e-14 5.444520e-02
1.579000e+00 2.894000e-02 6.710541e-39 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.159929e+32 6.712383e-51 2.162767e-01
1.176000e-01 1.194000e-01 2.148315e-05 4.529695e-03 6.405891e-03 1.000000e-04 4.529649e-03 1.428838e+01 2.983799e-04 4.407942e+02 1.000000e+00
1.885000e-01 3.665000e-02 8.438366e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 9.244087e+27 8.440683e-43 4.377544e-02
4.571000e-02 1.914000e-01 2.491125e-04 1.459735e-03 2.064375e-03 1.000000e-04 1.459733e-03 7.964833e+00 2.800508e-07 5.308155e+02 1.000000e+00
1.489000e-01 2.572000e-02 6.186493e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.128009e+28 6.188191e-43 3.640703e-02
2.000000e+00 7.017000e-01 5.708103e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.317046e+25 5.709670e-45 1.272511e-01
1.489000e-01 1.512000e-01 8.067141e-06 6.115119e-03 8.647922e-03 1.000000e-04 6.115005e-03 1.814130e+01 1.269848e-04 3.016681e+02 1.000000e+00
5.789000e-02 3.257000e-02 2.871618e-07 9.833081e-03 1.390540e-02 1.000000e-04 9.832606e-03 2.861682e+01 1.262144e+06 2.776553e+01 1.914610e-02
2.533000e-02 2.572000e-02 1.470778e-03 6.132499e-04 8.672662e-04 1.000000e-04 6.132498e-04 8.868385e+00 7.470060e-02 5.531236e+02 1.000000e+00
3.829000e-01 9.427000e-02 9.054655e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.380923e+27 9.057141e-43 6.522202e-02
6.514000e-02 5.223000e-02 2.799726e-06 9.760481e-03 1.380275e-02 1.000000e-04 9.760016e-03 1.131789e+01 1.410681e+05 2.667215e+02 2.113821e-02
4.571000e-02 2.424000e-01 1.679361e-04 1.655973e-03 2.341896e-03 1.000000e-04 1.655970e-03 8.923079e+00 1.065180e-07 4.605219e+02 1.000000e+00
2.687000e-01 1.125000e-02 4.492054e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.465850e+31 4.493287e-47 5.409778e-02
1.885000e-01 3.888000e-01 9.200173e-07 9.760175e-03 1.380231e-02 1.000000e-04 9.759711e-03 2.359727e+01 1.463687e-08 8.764179e+01 1.000000e+00
1.777000e+00 3.070000e-01 8.665893e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.157718e+27 8.668272e-46 1.979249e-01
9.283000e-02 1.604000e-02 1.169459e-30 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.429272e+28 1.169780e-42 2.685821e-02
3.609000e-02 3.888000e-01 4.772268e-05 3.302714e-03 4.670717e-03 1.000000e-04 3.302696e-03 1.144808e+01 4.031365e-09 5.205551e+02 1.000000e+00
4.849000e-01 1.000000e+00 4.273965e-10 8.893588e-09 1.257743e-08 1.000000e-04 8.893588e-09 3.180203e+01 6.855862e+03 3.380532e-14 7.165850e-02
6.141000e-01 1.266000e-02 1.330499e-37 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.224521e+32 1.330865e-49 8.843867e-02
4.849000e-01 7.444000e-02 3.670335e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.187406e+28 3.671343e-44 7.324055e-02
3.609000e-02 4.125000e-02 6.854756e-04 8.116198e-04 1.147803e-03 1.000000e-04 8.116195e-04 8.687784e+00 4.014074e-04 4.515410e+02 1.000000e+00
8.751000e-01 4.375000e-01 1.100617e-30 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.534262e+25 1.100919e-42 8.160215e-02
1.045000e-01 3.888000e-01 8.890393e-06 6.826864e-03 9.654418e-03 1.000000e-04 6.826705e-03 1.292462e+01 8.028503e-09 4.143463e+02 1.000000e+00
4.849000e-01 4.375000e-01 1.971801e-28 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 7.838231e+23 1.972342e-40 4.692153e-02
1.323000e-01 1.604000e-02 8.636305e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.429306e+29 8.638676e-44 3.379798e-02
3.829000e-01 4.642000e-02 1.447224e-32 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 4.916504e+28 1.447621e-44 6.572723e-02
7.330000e-02 3.888000e-01 2.045424e-05 4.462390e-03 6.310709e-03 1.000000e-04 4.462345e-03 1.195628e+01 9.141122e-09 4.073038e+02 1.000000e+00
1.489000e-01 1.701000e-01 6.745683e-06 7.477897e-03 1.057505e-02 1.000000e-04 7.477688e-03 1.636529e+01 1.155148e-06 3.772115e+02 1.000000e+00
2.122000e-01 4.924000e-01 3.615918e-07 9.833081e-03 1.390540e-02 1.000000e-04 9.832606e-03 2.807602e+01 8.510770e-09 3.496212e+01 1.000000e+00
2.850000e-02 7.897000e-01 4.412374e-07 9.370125e-03 1.325078e-02 1.000000e-04 9.369713e-03 3.092074e+01 3.726774e-11 3.874031e+01 1.000000e+00
2.850000e-02 9.427000e-02 1.078450e-03 6.787389e-04 9.598815e-04 1.000000e-04 6.787387e-04 6.203629e+00 4.275548e-06 4.968272e+02 1.000000e+00
9.283000e-02 2.424000e-01 3.072006e-05 3.896530e-03 5.510484e-03 1.000000e-04 3.896500e-03 9.513702e+00 8.393841e-08 4.664211e+02 1.000000e+00
4.849000e-01 1.805000e-02 7.775021e-36 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.448711e+31 7.777156e-48 7.403592e-02
6.141000e-01 4.125000e-02 1.572568e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 5.933027e+29 1.573000e-46 9.040696e-02
1.108000e+00 1.914000e-01 5.822847e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.738485e+27 5.824445e-45 1.206092e-01
1.176000e-01 1.604000e-02 2.129171e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 8.897734e+28 2.129756e-43 3.021314e-02
1.675000e-01 1.125000e-02 1.731696e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.205723e+30 1.732172e-45 3.939085e-02
1.403000e+00 1.805000e-02 1.035690e-39 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 8.633210e+32 1.035974e-51 1.891978e-01
1.777000e+00 6.236000e-01 8.766225e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.231255e+25 8.768631e-45 1.483119e-01
1.247000e+00 1.512000e-01 6.947203e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.378587e+28 6.949110e-46 1.379599e-01
8.249000e-02 1.701000e-01 6.113433e-05 2.807846e-03 3.970878e-03 1.000000e-04 2.807835e-03 7.898630e+00 4.044787e-07 4.819829e+02 1.000000e+00
5.457000e-01 2.894000e-02 4.905062e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.181160e+30 4.906409e-47 8.425083e-02
1.108000e+00 9.427000e-02 1.512737e-34 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 9.571991e+28 1.513153e-46 1.307819e-01
3.403000e-01 1.425000e-02 3.028922e-35 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.148584e+31 3.029753e-47 6.280791e-02
8.751000e-01 9.427000e-02 1.108083e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.863734e+28 1.108387e-45 1.072571e-01
5.789000e-02 3.070000e-01 6.484219e-05 2.616386e-03 3.700116e-03 1.000000e-04 2.616377e-03 1.032607e+01 3.368905e-08 4.438757e+02 1.000000e+00
5.144000e-02 7.444000e-02 2.912364e-04 1.254059e-03 1.773506e-03 1.000000e-04 1.254058e-03 7.719827e+00 1.516115e-05 4.580170e+02 1.000000e+00
2.000000e+00 6.615000e-02 1.381747e-37 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 3.230331e+30 1.382127e-49 3.334193e-01
2.687000e-01 7.897000e-01 2.953856e-08 7.700787e-03 1.089024e-02 1.000000e-04 7.700559e-03 3.179040e+01 5.093507e-09 1.751699e+00 1.000000e+00
6.141000e-01 1.512000e-01 2.639594e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 8.646810e+26 2.640318e-43 7.808357e-02
9.283000e-02 3.665000e-02 1.812284e-28 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 5.028796e+26 1.812782e-40 2.645403e-02
6.910000e-01 1.425000e-02 1.057206e-37 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.964250e+32 1.057497e-49 9.351514e-02
3.829000e-01 3.257000e-02 1.756352e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.908531e+29 1.756834e-45 6.530570e-02
6.910000e-01 9.427000e-02 7.586443e-33 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.510193e+28 7.588526e-45 9.427378e-02
4.062000e-02 7.444000e-02 5.391114e-04 9.927043e-04 1.403895e-03 1.000000e-04 9.927038e-04 6.269141e+00 1.023386e-05 5.312736e+02 1.000000e+00
7.330000e-02 5.223000e-02 4.743770e-19 6.601088e-09 9.335348e-09 1.000000e-04 6.601088e-09 3.180203e+01 5.729668e+17 2.067068e-23 2.305752e-02
5.144000e-02 3.888000e-01 3.451743e-05 3.787687e-03 5.356560e-03 1.000000e-04 3.787660e-03 1.134821e+01 6.231209e-09 4.952068e+02 1.000000e+00
2.251000e-02 2.572000e-02 1.955729e-03 4.845107e-04 6.852016e-04 1.000000e-04 4.845107e-04 8.634305e+00 1.814730e-03 4.591087e+02 1.000000e+00
2.850000e-02 2.572000e-02 7.370900e-18 6.601088e-09 9.335348e-09 1.000000e-04 6.601088e-09 3.180203e+01 3.041912e+17 3.211823e-22 1.274194e-02
4.062000e-02 3.665000e-02 7.953112e-06 7.949844e-03 1.124242e-02 1.000000e-04 7.949593e-03 6.276896e+00 1.471719e+05 5.026368e+02 1.563728e-02
1.403000e+00 2.894000e-02 1.778092e-38 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 8.093755e+31 1.778580e-50 1.853450e-01
1.403000e+00 1.425000e-02 2.568033e-40 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 2.832636e+33 2.568738e-52 1.828890e-01
1.247000e+00 2.285000e-02 1.214613e-38 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 1.774049e+32 1.214947e-50 1.577260e-01
2.687000e-01 5.223000e-02 4.675619e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 6.494079e+27 4.676903e-43 5.341093e-02
2.850000e-02 1.343000e-01 8.657933e-04 7.682015e-04 1.086401e-03 1.000000e-04 7.682013e-04 7.019866e+00 1.133862e-06 5.109337e+02 1.000000e+00
3.403000e-01 6.615000e-02 3.049207e-31 1.000137e-12 1.414408e-12 1.000000e-04 1.000137e-12 3.180203e+01 5.133052e+27 3.050044e-43 6.038608e-02
