# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
6.910000e-01 1.266000e-02 6.147131e-10 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.179509e+01 3.529030e+08 6.147746e-02 8.563165e-02
1.247000e+00 3.455000e-01 2.355922e-05 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 6.088418e+01 2.313144e+02 2.356157e+03 7.515479e-01
1.403000e+00 6.236000e-01 3.807089e-06 1.000044e-02 1.414205e-02 1.000000e-02 9.999937e-03 2.722717e+01 1.784760e+01 3.807422e+02 9.999980e-01
1.108000e+00 1.425000e-02 2.904102e-11 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180170e+01 1.285484e+09 2.904392e-03 1.047535e-01
3.609000e-02 4.924000e-01 1.372835e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276120e+02 2.164486e-10 1.372972e+07 1.000000e+00
1.247000e+00 1.125000e-02 2.719180e-12 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180200e+01 6.792005e+09 2.719452e-04 1.084404e-01
4.571000e-02 1.701000e-01 2.865230e+00 4.731359e-06 6.691152e-06 1.000000e-02 4.731359e-06 2.534823e+01 3.818905e-02 6.414035e+01 1.000000e+00
1.045000e-01 4.642000e-02 5.886326e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276692e+02 2.404217e+02 5.886914e+07 1.400077e-01
1.885000e-01 3.257000e-02 4.142356e-03 1.000038e-02 1.414196e-02 1.000000e-02 9.999878e-03 3.169076e+02 1.673978e+04 4.142669e+05 4.422511e-02
1.579000e+00 1.125000e-02 4.246464e-13 1.000043e-02 1.414204e-02 1.000000e-02 9.999934e-03 3.180203e+01 1.746923e+10 4.246832e-05 1.095088e-01
1.777000e+00 7.017000e-01 9.427988e-07 1.000035e-02 1.414193e-02 1.000000e-02 9.999855e-03 2.980641e+01 2.622324e+01 9.428658e+01 9.999678e-01
3.024000e-01 1.425000e-02 8.157869e-07 1.000044e-02 1.414205e-02 1.000000e-02 9.999938e-03 2.350258e+01 7.118745e+06 8.158584e+01 5.511699e-02
2.533000e-02 6.236000e-01 3.060071e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.270966e+02 5.248878e-11 3.060377e+06 1.000000e+00
5.457000e-01 4.375000e-01 2.992754e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.504385e+02 1.603992e+00 2.993053e+04 1.000000e+00
6.910000e-01 1.125000e-02 3.064532e-10 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.179859e+01 6.400911e+08 3.064839e-02 8.452859e-02
1.176000e-01 1.914000e-01 1.547583e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276050e+02 5.753355e-08 1.547737e+07 1.000000e+00
1.489000e-01 6.615000e-02 1.847986e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.275435e+02 1.685647e+02 1.848171e+07 2.934408e-01
1.108000e+00 1.125000e-02 7.216697e-12 1.000042e-02 1.414203e-02 1.000000e-02 9.999923e-03 3.180196e+01 4.231520e+09 7.217308e-04 1.006699e-01
7.776000e-01 2.728000e-01 2.321193e-04 9.999997e-03 1.414142e-02 1.000000e-02 9.999497e-03 2.506844e+02 1.105248e+02 2.321192e+04 9.118661e-01
2.000000e+00 1.343000e-01 1.402717e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.021625e+01 1.805743e+05 1.402857e+01 1.047806e-01
3.207000e-02 6.236000e-01 2.910569e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.270674e+02 8.413401e-11 2.910860e+06 1.000000e+00
1.247000e+00 3.665000e-02 3.527757e-09 1.000049e-02 1.414212e-02 1.000000e-02 9.999990e-03 3.176186e+01 1.809647e+07 3.528103e-01 1.012665e-01
4.062000e-02 6.236000e-01 2.687156e-02 1.000050e-02 1.414213e-02 1.000000e-02 9.999996e-03 3.270158e+02 1.349788e-10 2.687422e+06 1.000000e+00
6.514000e-02 6.615000e-02 3.642357e-13 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 1.077301e+16 3.642357e-25 2.272027e-02
7.330000e-02 8.377000e-02 2.455701e-11 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 1.304232e+14 2.455701e-23 2.319366e-02
4.849000e-01 8.886000e-01 1.841774e-05 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.043118e+02 8.449191e-09 1.841958e+03 1.000000e+00
1.176000e-01 4.924000e-01 2.926073e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.271232e+02 2.319749e-09 2.926366e+06 1.000000e+00
9.848000e-01 5.878000e-02 3.791106e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.772003e+01 6.609377e+05 3.791485e+01 9.474515e-02
2.533000e-02 1.000000e-02 1.401418e-06 4.646323e-06 6.570892e-06 1.000000e-02 4.646323e-06 3.180203e+01 8.761353e+09 3.025426e-05 1.104864e-02
