# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
3.024000e-01 8.377000e-02 3.162579e-04 9.994601e-04 1.413449e-03 1.000000e-02 9.994596e-04 9.155108e+00 9.550728e+04 3.159165e+02 5.504656e-02
6.514000e-02 1.000000e+00 4.287557e-04 9.999987e-07 1.414212e-06 1.000000e-02 9.999987e-07 3.180204e+01 8.417897e-03 4.287545e-04 1.000000e+00
1.323000e-01 2.285000e-02 2.953755e-04 2.000004e-03 2.828427e-03 1.000000e-02 2.000000e-03 1.799713e+01 5.991331e+05 1.181507e+03 3.358230e-02
8.751000e-01 7.897000e-01 4.286738e-10 1.001316e-06 1.416075e-06 1.000000e-02 1.001316e-06 3.180203e+01 4.296618e+07 4.298027e-10 5.705082e-02
4.309000e-01 1.125000e-02 1.232714e-08 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.166566e+01 9.676129e+07 1.232838e+00 6.822138e-02
2.533000e-02 1.061000e-01 1.299150e+01 6.369165e-06 9.007360e-06 1.000000e-02 6.369165e-06 6.569836e+00 2.651806e-02 5.270168e+02 1.000000e+00
3.207000e-02 1.061000e-01 8.059742e+00 8.205055e-06 1.160370e-05 1.000000e-02 8.205055e-06 6.291763e+00 2.598400e-02 5.426054e+02 1.000000e+00
2.388000e-01 2.031000e-02 1.490756e-05 6.000048e-03 8.485196e-03 1.000000e-02 5.999940e-03 6.540215e+00 1.293503e+06 5.366806e+02 4.916295e-02
2.000000e-02 5.223000e-02 2.546205e+01 4.293470e-06 6.071883e-06 1.000000e-02 4.293470e-06 6.191405e+00 3.207862e-01 4.693644e+02 1.000000e+00
9.848000e-01 5.878000e-02 3.662610e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.781595e+01 6.608757e+05 3.662976e+01 9.700193e-02
4.849000e-01 3.888000e-01 4.153392e-04 8.998631e-04 1.272598e-03 1.000000e-02 8.998627e-04 1.703475e+01 2.226825e+02 3.363224e+02 7.046851e-01
2.251000e-02 1.000000e-02 8.915583e-03 2.508080e-04 3.546961e-04 1.000000e-02 2.508080e-04 5.473646e+00 1.820933e+06 5.608317e+02 1.083992e-02
2.251000e-02 1.343000e-01 1.312254e+01 6.615794e-06 9.356146e-06 1.000000e-02 6.615794e-06 7.562068e+00 9.502915e-03 5.743569e+02 1.000000e+00
1.323000e-01 8.377000e-02 8.492783e-03 2.000006e-04 2.828435e-04 1.000000e-02 2.000006e-04 8.770971e+00 6.881391e+04 3.397132e+02 3.281262e-02
1.777000e+00 6.615000e-02 6.727892e-09 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.172635e+01 3.889397e+06 6.728565e-01 1.110732e-01
2.388000e-01 1.125000e-02 1.168010e-06 1.000049e-02 1.414213e-02 1.000000e-02 9.999993e-03 2.059130e+01 9.112758e+06 1.168125e+02 4.964766e-02
8.249000e-02 1.194000e-01 7.109718e-01 3.000258e-05 4.243006e-05 1.000000e-02 3.000258e-05 1.101835e+01 1.649710e-02 6.399847e+02 1.000000e+00
2.850000e-02 3.257000e-02 1.069406e+01 7.717052e-06 1.091356e-05 1.000000e-02 7.717052e-06 9.258886e+00 5.634922e+00 6.368623e+02 9.964293e-01
7.776000e-01 2.728000e-01 1.340733e-04 1.999782e-03 2.828113e-03 1.000000e-02 1.999778e-03 9.380939e+00 2.764759e+03 5.361765e+02 1.371643e-01
3.403000e-01 6.236000e-01 3.460730e-04 3.000325e-04 4.243100e-04 1.000000e-02 3.000325e-04 3.171126e+01 1.337520e-05 3.115331e+01 1.000000e+00
4.849000e-01 4.375000e-01 3.118094e-04 9.000004e-04 1.272792e-03 1.000000e-02 9.000000e-04 2.137680e+01 9.614729e+01 2.525658e+02 9.672265e-01
1.579000e+00 2.894000e-02 1.269664e-10 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180061e+01 1.518472e+08 1.269791e-02 1.099451e-01
9.283000e-02 1.914000e-01 3.811979e-01 3.000000e-05 4.242641e-05 1.000000e-02 3.000000e-05 1.050629e+01 3.149740e-03 3.430781e+02 1.000000e+00
1.323000e-01 3.888000e-01 4.155983e-02 1.000000e-04 1.414214e-04 1.000000e-02 1.000000e-04 1.495084e+01 6.135505e-05 4.155983e+02 1.000000e+00
4.849000e-01 1.000000e+00 1.075998e-05 9.984030e-07 1.411955e-06 1.000000e-02 9.984030e-07 3.180203e+01 5.440191e-01 1.072564e-05 1.000000e+00
1.777000e+00 3.257000e-02 1.010753e-10 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180091e+01 1.348194e+08 1.010854e-02 1.112535e-01
4.309000e-01 1.061000e-01 2.918483e-04 2.000006e-03 2.828429e-03 1.000000e-02 2.000002e-03 1.996826e+01 3.048301e+04 1.167400e+03 6.819273e-02
3.207000e-02 1.000000e-02 2.548268e-03 4.613708e-04 6.524768e-04 1.000000e-02 4.613708e-04 5.932452e+00 2.377424e+06 5.424319e+02 1.354862e-02
1.777000e+00 2.572000e-02 2.380136e-11 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180177e+01 4.397526e+08 2.380374e-03 1.143134e-01
6.910000e-01 5.541000e-01 6.048054e-05 1.999507e-03 2.827724e-03 1.000000e-02 1.999503e-03 2.600098e+01 3.165939e+01 2.418029e+02 9.997119e-01
4.309000e-01 9.427000e-02 1.549658e-04 2.000004e-03 2.828427e-03 1.000000e-02 2.000000e-03 7.319634e+00 5.548128e+04 6.198656e+02 6.656647e-02
6.910000e-01 7.017000e-01 2.822382e-06 1.000000e-06 1.414214e-06 1.000000e-02 1.000000e-06 3.180203e+01 1.018209e+03 2.822382e-06 2.169689e-01
2.122000e-01 1.604000e-02 1.201703e-05 7.000304e-03 9.899682e-03 1.000000e-02 7.000133e-03 5.838293e+00 1.939376e+06 5.888857e+02 4.663359e-02
1.675000e-01 4.642000e-02 7.378482e-04 8.998405e-04 1.272566e-03 1.000000e-02 8.998402e-04 6.553370e+00 2.124909e+05 5.974452e+02 3.912671e-02
1.176000e-01 3.665000e-02 1.102971e-03 5.997250e-04 8.481391e-04 1.000000e-02 5.997249e-04 6.898639e+00 3.742989e+05 3.967058e+02 3.168590e-02
1.403000e+00 2.285000e-02 7.718972e-11 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180113e+01 3.091207e+08 7.719744e-03 1.092383e-01
6.514000e-02 8.377000e-02 1.520619e+00 1.999922e-05 2.828317e-05 1.000000e-02 1.999922e-05 1.031244e+01 1.036841e-01 6.082003e+02 1.000000e+00
3.829000e-01 6.236000e-01 2.160405e-04 1.000000e-06 1.414214e-06 1.000000e-02 1.000000e-06 3.180203e+01 1.761751e+00 2.160405e-04 1.000000e+00
1.675000e-01 1.000000e-02 6.868918e-06 9.000664e-03 1.272835e-02 1.000000e-02 9.000299e-03 6.302617e+00 4.938794e+06 5.564645e+02 3.924493e-02
2.388000e-01 1.805000e-02 1.001574e-05 7.000656e-03 9.900180e-03 1.000000e-02 7.000485e-03 6.367940e+00 1.719487e+06 4.908631e+02 4.949221e-02
3.403000e-01 3.888000e-01 1.253173e-03 3.000000e-04 4.242641e-04 1.000000e-02 3.000000e-04 3.022465e+01 3.134402e-04 1.127856e+02 1.000000e+00
2.000000e+00 1.266000e-02 1.310715e-13 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180203e+01 2.480370e+10 1.310846e-05 1.151000e-01
1.323000e-01 1.125000e-02 2.535323e-05 5.001387e-03 7.072940e-03 1.000000e-02 5.001324e-03 7.574422e+00 3.421973e+06 6.341825e+02 3.381420e-02
8.751000e-01 5.878000e-02 9.374911e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.218586e+01 4.116392e+05 9.375848e+01 9.256620e-02
6.141000e-01 1.343000e-01 6.757381e-05 2.000018e-03 2.828446e-03 1.000000e-02 2.000014e-03 1.109263e+01 3.901292e+04 2.703000e+02 7.337874e-02
3.829000e-01 7.017000e-01 1.449359e-04 9.997988e-07 1.413929e-06 1.000000e-02 9.997988e-07 3.180204e+01 1.070325e+00 1.448776e-04 1.000000e+00
3.024000e-01 1.194000e-01 1.179350e-03 7.001646e-04 9.901820e-04 1.000000e-02 7.001644e-04 6.956366e+00 3.139952e+04 5.781534e+02 5.259254e-02
3.609000e-02 8.377000e-02 6.811474e+00 9.304630e-06 1.315873e-05 1.000000e-02 9.304630e-06 6.081704e+00 5.582518e-02 5.897111e+02 1.000000e+00
2.251000e-02 1.125000e-02 1.371067e-02 2.129538e-04 3.011622e-04 1.000000e-02 2.129538e-04 5.869622e+00 1.341216e+06 6.217696e+02 1.086269e-02
4.309000e-01 2.154000e-01 1.010576e-03 7.001972e-04 9.902282e-04 1.000000e-02 7.001971e-04 8.715819e+00 6.338469e+03 4.954615e+02 7.486368e-02
1.247000e+00 4.375000e-01 1.323335e-05 6.000108e-03 8.485281e-03 1.000000e-02 6.000000e-03 1.438181e+01 1.914234e+02 4.764176e+02 8.623712e-01
4.062000e-02 1.125000e-02 1.522360e-03 5.594522e-04 7.911848e-04 1.000000e-02 5.594521e-04 5.885827e+00 2.326260e+06 4.764785e+02 1.527333e-02
5.457000e-01 1.512000e-01 2.796784e-04 2.000387e-03 2.828969e-03 1.000000e-02 2.000383e-03 2.225730e+01 1.319078e+04 1.119147e+03 7.691419e-02
3.829000e-01 7.444000e-02 9.750578e-05 2.000180e-03 2.828676e-03 1.000000e-02 2.000176e-03 7.718986e+00 1.133265e+05 3.900932e+02 6.602151e-02
1.579000e+00 3.070000e-01 8.125430e-06 6.999674e-03 9.898791e-03 1.000000e-02 6.999502e-03 1.019323e+01 2.247447e+03 3.981089e+02 1.832955e-01
9.283000e-02 4.924000e-01 5.089952e-02 1.000000e-04 1.414214e-04 1.000000e-02 1.000000e-04 1.459311e+01 1.437230e-05 5.089952e+02 1.000000e+00
6.141000e-01 7.444000e-02 1.603245e-05 4.999914e-03 7.070858e-03 1.000000e-02 4.999852e-03 7.814646e+00 1.218001e+05 4.007974e+02 7.798454e-02
1.675000e-01 3.888000e-01 1.553169e-02 1.000158e-04 1.414437e-04 1.000000e-02 1.000158e-04 2.032691e+01 1.040929e-04 1.553659e+02 1.000000e+00
1.675000e-01 8.377000e-02 5.125416e-03 4.000275e-04 5.657242e-04 1.000000e-02 4.000274e-04 1.113756e+01 4.982761e+04 8.201791e+02 3.876730e-02
3.024000e-01 4.375000e-01 1.224712e-03 2.999984e-04 4.242619e-04 1.000000e-02 2.999984e-04 2.778876e+01 4.513092e-05 1.102229e+02 1.000000e+00
3.403000e-01 2.424000e-01 2.897267e-03 4.000000e-04 5.656854e-04 1.000000e-02 4.000000e-04 1.045838e+01 3.364079e+03 4.635629e+02 8.063300e-02
2.687000e-01 1.000000e+00 7.138981e-05 1.000000e-06 1.414214e-06 1.000000e-02 1.000000e-06 3.180204e+01 1.453916e-01 7.138981e-05 1.000000e+00
5.457000e-01 2.728000e-01 5.349903e-04 1.000004e-03 1.414219e-03 1.000000e-02 1.000004e-03 9.142182e+00 2.452539e+03 5.349947e+02 1.211739e-01
2.533000e-02 9.427000e-02 1.378843e+01 6.140487e-06 8.683961e-06 1.000000e-02 6.140487e-06 6.442717e+00 4.090176e-02 5.199007e+02 1.000000e+00
