# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geometry eff_selection eff_total
1.176000e-01 1.194000e-01 2.130644e-01 4.409949e-05 6.236610e-05 1.000000e-02 4.409949e-05 1.455220e+01 3.147928e+00 4.143603e+02 3.133022e-02 2.116728e-02 4.676585e-05
3.609000e-02 1.914000e-01 3.775936e+00 1.196547e-05 1.692173e-05 1.000000e-02 1.196547e-05 8.349434e+00 2.583397e-03 5.406099e+02 1.447422e-02 3.645665e-02 7.051573e-05
1.045000e-01 6.615000e-02 1.316574e-02 2.093623e-04 2.960830e-04 1.000000e-02 2.093623e-04 6.600546e+00 7.959951e+04 5.770882e+02 6.728088e-04 3.916100e-02 1.918472e-06
2.000000e-02 4.924000e-01 1.655584e-01 5.504907e-05 7.785114e-05 1.000000e-02 5.504907e-05 1.541290e+01 2.193356e-06 5.017082e+02 1.457233e-02 2.811123e-02 6.666913e-05
1.675000e-01 1.604000e-02 2.909362e-05 4.426883e-03 6.260496e-03 1.000000e-02 4.426839e-03 6.802648e+00 1.878724e+06 5.701562e+02 6.890817e-06 4.108046e-02 1.663191e-08
1.675000e-01 1.805000e-02 4.330980e-05 3.763813e-03 5.322798e-03 1.000000e-02 3.763787e-03 6.540700e+00 1.434549e+06 6.135392e+02 1.012208e-05 4.132695e-02 2.478229e-08
4.062000e-02 2.154000e-01 2.550470e+00 1.433838e-05 2.027753e-05 1.000000e-02 1.433838e-05 9.078646e+00 1.598988e-03 5.243488e+02 1.522182e-02 3.576726e-02 7.028756e-05
1.323000e-01 1.914000e-01 9.379498e-02 6.657940e-05 9.415748e-05 1.000000e-02 6.657939e-05 1.310227e+01 2.094750e-03 4.157759e+02 3.221627e-02 1.479197e-02 3.341201e-05
2.000000e-02 6.236000e-01 3.156520e-02 1.116639e-04 1.579165e-04 1.000000e-02 1.116639e-04 2.250635e+01 2.624223e-07 3.935807e+02 1.491947e-02 2.266420e-02 6.164857e-05
2.533000e-02 5.223000e-02 1.580530e+01 6.197782e-06 8.764988e-06 1.000000e-02 6.197782e-06 6.411470e+00 2.703884e-01 6.071210e+02 1.313452e-02 3.929782e-02 7.341260e-05
3.403000e-01 2.285000e-02 5.567322e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 6.735124e+00 1.065819e+06 5.567879e+02 1.673923e-05 4.036349e-02 3.173134e-08
6.141000e-01 1.194000e-01 7.334493e-05 2.832218e-03 4.005346e-03 1.000000e-02 2.832207e-03 6.789479e+00 3.523884e+04 5.883335e+02 2.495365e-03 3.375587e-02 3.339605e-06
4.309000e-01 6.236000e-01 1.889309e-05 1.000000e-08 1.414214e-08 1.000000e-02 1.000000e-08 3.180203e+01 2.845536e+04 1.889309e-09 8.334663e-03 4.511388e-03 2.295398e-06
3.609000e-02 1.266000e-02 3.895588e-03 4.010976e-04 5.672376e-04 1.000000e-02 4.010975e-04 5.854203e+00 1.507608e+06 6.267193e+02 7.552510e-06 4.037341e-02 3.878595e-08
3.829000e-01 5.541000e-01 1.050788e-04 1.764339e-08 2.495152e-08 1.000000e-02 1.764339e-08 3.180203e+01 1.029077e+04 3.270990e-08 1.712465e-02 5.101366e-03 5.754207e-06
8.249000e-02 1.512000e-01 6.470639e-01 2.853070e-05 4.034851e-05 1.000000e-02 2.853070e-05 8.482773e+00 6.096142e-03 5.267108e+02 2.407582e-02 2.786279e-02 5.812194e-05
1.675000e-01 1.194000e-01 1.201356e-02 2.151853e-04 3.043179e-04 1.000000e-02 2.151853e-04 7.635663e+00 2.351529e+04 5.562841e+02 3.710707e-03 3.278242e-02 7.308907e-06
5.144000e-02 7.017000e-01 9.677962e-03 1.781081e-04 2.518828e-04 1.000000e-02 1.781081e-04 2.542201e+01 4.789577e-07 3.070090e+02 1.744082e-02 2.191812e-02 6.463825e-05
3.403000e-01 1.061000e-01 5.235422e-04 1.057113e-03 1.494982e-03 1.000000e-02 1.057112e-03 7.288263e+00 4.146471e+04 5.850518e+02 1.897477e-03 3.520140e-02 3.083022e-06
1.675000e-01 3.257000e-02 2.519465e-04 1.532329e-03 2.167038e-03 1.000000e-02 1.532327e-03 6.313724e+00 4.421644e+05 5.915786e+02 5.924290e-05 4.072587e-02 1.447149e-07
4.571000e-02 3.665000e-02 5.125401e-02 1.084551e-04 1.533787e-04 1.000000e-02 1.084551e-04 5.756140e+00 1.629067e+05 6.028758e+02 1.953755e-04 4.051565e-02 8.872301e-07
9.848000e-01 1.194000e-01 1.065504e-05 7.239338e-03 1.023770e-02 1.000000e-02 7.239149e-03 7.902630e+00 3.619978e+04 5.584096e+02 2.385519e-03 3.365674e-02 2.682923e-06
4.062000e-02 1.061000e-01 4.966549e+00 1.085957e-05 1.535775e-05 1.000000e-02 1.085957e-05 6.616791e+00 2.467249e-02 5.857061e+02 1.618510e-02 3.716933e-02 7.362581e-05
3.403000e-01 3.455000e-01 1.915888e-03 1.581476e-04 2.236544e-04 1.000000e-02 1.581476e-04 3.110804e+01 8.486951e-02 4.791761e+01 5.364217e-02 7.863895e-03 2.173360e-05
1.777000e+00 2.285000e-02 1.181404e-11 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.180191e+01 7.954595e+08 1.181522e-03 2.149628e-08 4.169107e-02 2.644579e-11
3.829000e-01 5.878000e-02 6.278346e-05 3.131864e-03 4.429103e-03 1.000000e-02 3.131849e-03 5.968160e+00 1.520291e+05 6.158161e+02 3.006481e-04 3.978666e-02 5.376072e-07
8.249000e-02 1.425000e-02 2.872385e-04 1.463652e-03 2.069915e-03 1.000000e-02 1.463651e-03 5.887280e+00 1.809577e+06 6.153448e+02 6.611776e-06 4.066730e-02 2.157732e-08
3.024000e-01 2.031000e-02 6.280083e-06 9.798190e-03 1.385607e-02 1.000000e-02 9.797719e-03 6.356298e+00 1.249757e+06 6.029163e+02 1.273377e-05 4.115235e-02 2.395464e-08
