# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geometry eff_selection eff_total
1.403000e+00 1.604000e-02 7.767915e-12 1.000051e-03 1.421267e-02 1.000000e-02 1.000000e-03 3.180203e+01 2.163625e+09 7.768700e-06 5.658522e-09 4.147092e-02 7.030376e-12
1.176000e-01 1.343000e-01 1.949654e-01 4.594625e-05 6.530188e-04 1.000000e-02 4.594624e-05 1.371874e+01 4.617529e-04 4.115832e+02 3.029817e-02 2.015029e-02 4.344220e-05
9.283000e-02 7.897000e-01 2.421612e-03 2.539153e-04 3.608803e-03 1.000000e-02 2.539145e-04 2.943128e+01 6.389851e-09 1.561286e+02 2.103519e-02 1.958070e-02 6.336370e-05
1.489000e-01 1.125000e-02 3.432412e-05 1.000051e-03 1.421267e-02 1.000000e-02 1.000000e-03 2.853868e+01 1.630762e+06 3.432759e+01 5.559441e-06 4.066034e-02 1.381944e-08
3.207000e-02 2.031000e-02 2.375069e-01 5.068449e-05 7.203618e-04 1.000000e-02 5.068448e-05 6.719691e+00 5.263934e+04 6.101355e+02 3.507265e-04 4.111339e-02 1.809623e-06
9.283000e-02 8.377000e-02 3.725153e-01 3.871602e-05 5.502579e-04 1.000000e-02 3.871601e-05 7.663319e+00 3.214167e+03 5.583744e+02 1.417411e-02 3.683914e-02 3.957849e-05
2.122000e-01 2.572000e-02 3.604334e-04 1.000051e-03 1.421267e-02 1.000000e-02 1.000000e-03 9.320609e+00 1.049474e+05 3.604698e+02 1.957866e-04 4.074226e-02 4.349415e-07
4.062000e-02 6.615000e-02 5.366132e+00 1.034537e-05 1.470354e-04 1.000000e-02 1.034537e-05 7.374565e+00 1.841076e-03 5.743195e+02 1.684589e-02 3.760846e-02 7.301559e-05
2.000000e+00 1.000000e+00 1.383716e-12 1.938653e-07 2.755343e-06 1.000000e-02 1.938653e-07 3.180203e+01 2.114365e+08 5.200522e-14 1.381215e-06 4.809612e-03 2.677169e-10
7.776000e-01 1.194000e-01 9.979381e-05 1.000051e-03 1.421267e-02 1.000000e-02 1.000000e-03 2.333296e+01 8.695880e+03 9.980389e+01 8.848747e-03 3.383157e-02 1.060860e-05
2.122000e-01 5.541000e-01 2.742191e-03 2.346846e-04 3.335486e-03 1.000000e-02 2.346840e-04 2.496484e+01 1.200725e-07 1.510313e+02 4.113386e-02 1.112339e-02 3.368527e-05
1.045000e-01 2.424000e-01 2.053399e-01 4.871729e-05 6.924028e-04 1.000000e-02 4.871729e-05 1.047322e+01 8.360440e-06 4.873486e+02 2.643535e-02 2.189540e-02 4.874432e-05
3.829000e-01 5.541000e-01 3.717237e-05 1.000000e-09 1.421267e-08 1.000000e-02 1.000000e-09 3.180203e+01 3.799649e+04 3.717237e-11 6.203820e-03 5.237564e-03 2.050313e-06
2.251000e-02 2.154000e-01 5.690490e+00 9.525220e-06 1.353788e-04 1.000000e-02 9.525220e-06 9.739901e+00 1.315386e-05 5.162971e+02 1.229219e-02 3.581307e-02 6.784036e-05
9.283000e-02 4.642000e-02 6.014472e-02 9.839408e-05 1.398442e-03 1.000000e-02 9.839403e-05 6.828145e+00 1.765949e+04 5.822848e+02 2.068384e-03 4.071118e-02 6.207386e-06
2.850000e-02 1.805000e-02 2.505419e-01 4.997244e-05 7.102417e-04 1.000000e-02 4.997243e-05 6.818109e+00 6.104540e+04 6.256644e+02 2.688607e-04 4.122232e-02 1.458518e-06
6.910000e-01 8.886000e-01 2.231856e-07 1.154782e-09 1.641254e-08 1.000000e-02 1.154782e-09 3.180203e+01 3.478170e+04 2.976228e-13 7.210177e-03 1.654870e-03 6.383119e-07
1.403000e+00 2.572000e-02 1.347215e-10 1.000051e-03 1.421267e-02 1.000000e-02 1.000000e-03 3.180202e+01 2.025508e+08 1.347352e-04 9.470263e-08 4.141241e-02 1.218923e-10
7.330000e-02 2.728000e-01 5.136273e-01 3.140961e-05 4.464144e-04 1.000000e-02 3.140961e-05 9.797915e+00 6.407549e-06 5.067259e+02 2.088362e-02 3.031273e-02 6.586992e-05
5.144000e-02 4.924000e-01 1.092760e-01 6.812603e-05 9.682526e-04 1.000000e-02 6.812602e-05 1.399315e+01 1.124113e-07 5.071670e+02 1.886862e-02 2.942419e-02 7.564630e-05
2.850000e-02 1.000000e-02 3.868167e-02 1.294756e-04 1.840192e-03 1.000000e-02 1.294755e-04 5.958350e+00 2.194732e+05 6.484566e+02 4.198924e-05 4.005632e-02 2.256165e-07
2.533000e-02 4.375000e-01 3.129039e-01 4.104122e-05 5.833053e-04 1.000000e-02 4.104122e-05 1.321233e+01 1.070400e-07 5.270496e+02 1.500610e-02 3.043860e-02 6.806691e-05
2.388000e-01 2.285000e-02 7.016909e-05 1.000051e-03 1.421267e-02 1.000000e-02 1.000000e-03 2.550456e+01 3.056427e+05 7.017617e+01 5.801401e-05 4.077950e-02 1.242881e-07
8.249000e-02 3.665000e-02 4.555366e-02 1.137771e-04 1.617076e-03 1.000000e-02 1.137771e-04 7.238243e+00 2.789671e+04 5.897029e+02 1.076118e-03 4.063293e-02 3.445260e-06
1.403000e+00 8.886000e-01 2.819560e-12 6.309573e-08 8.967589e-07 1.000000e-02 6.309573e-08 3.180203e+01 7.726775e+08 1.122487e-14 4.050860e-07 4.552968e-03 7.439202e-11
