# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 1.153000e-01 1.098095e-01 5.000000e-02 5.792469e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.384937e+08 5.792480e-07 1.302867e-07 9.434826e-02 1.229233e-08
1.250000e+00 3.918000e-01 3.731428e-01 5.000000e-02 7.347945e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180201e+01 7.033388e+05 7.347960e-04 1.957334e-04 9.608972e-02 1.880797e-05
1.250000e+00 2.965000e-02 2.823810e-02 5.000000e-02 4.093697e-17 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.175080e+12 4.093705e-11 8.531114e-12 9.257488e-02 7.897669e-13
1.250000e+00 3.420000e-01 3.257143e-01 5.000000e-02 3.415050e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180202e+01 1.389585e+06 3.415057e-04 9.036442e-05 9.431683e-02 8.522886e-06
1.250000e+00 5.889000e-01 5.608572e-01 5.000000e-02 4.587823e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180185e+01 9.135462e+04 4.587832e-03 1.861670e-03 9.827489e-02 1.829555e-04
1.250000e+00 3.396000e-02 3.234286e-02 5.000000e-02 1.510319e-16 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.790991e+11 1.510322e-10 3.357297e-11 9.260132e-02 3.108902e-12
1.250000e+00 5.141000e-01 4.896191e-01 5.000000e-02 2.829622e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180193e+01 1.802735e+05 2.829628e-03 9.342255e-04 9.670601e-02 9.034521e-05
1.250000e+00 1.514000e-01 1.441905e-01 5.000000e-02 2.705918e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 8.433681e+07 2.705924e-06 6.604438e-07 9.503603e-02 6.276595e-08
1.250000e+00 2.259000e-02 2.151429e-02 5.000000e-02 3.440699e-19 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.057274e+14 3.440706e-13 7.874168e-14 9.103190e-02 7.168004e-15
1.250000e+00 1.986000e-01 1.891429e-01 5.000000e-02 1.453758e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.135988e+07 1.453761e-05 3.386320e-06 9.377328e-02 3.175463e-07
1.250000e+00 2.000000e+00 1.904762e+00 5.000000e-02 3.420123e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180200e+01 2.007718e+02 3.420130e-04 4.031073e-02 1.128708e-01 4.549905e-03
1.250000e+00 6.699000e-02 6.380000e-02 5.000000e-02 1.704113e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.869126e+09 1.704117e-08 4.109545e-09 9.417719e-02 3.870254e-10
1.250000e+00 1.331000e+00 1.267619e+00 5.000000e-02 8.058881e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180143e+01 1.543026e+03 8.058897e-03 3.386412e-02 1.080240e-01 3.658137e-03
1.250000e+00 2.606000e-01 2.481905e-01 5.000000e-02 7.184565e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 5.440214e+06 7.184579e-05 1.704497e-05 9.534563e-02 1.625164e-06
1.250000e+00 1.014000e+00 9.657143e-01 5.000000e-02 1.406122e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180115e+01 6.021845e+03 1.406124e-02 2.083118e-02 1.046154e-01 2.179263e-03
1.250000e+00 7.674000e-02 7.308571e-02 5.000000e-02 4.688619e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.828480e+09 4.688629e-08 1.017524e-08 9.453783e-02 9.619451e-10
1.250000e+00 6.746000e-01 6.424762e-01 5.000000e-02 7.089935e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180175e+01 4.626728e+04 7.089949e-03 3.818740e-03 9.839359e-02 3.757395e-04
1.250000e+00 5.105000e-02 4.861905e-02 5.000000e-02 3.410415e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.691125e+10 3.410422e-09 7.111128e-10 9.454177e-02 6.722986e-11
1.250000e+00 1.746000e+00 1.662857e+00 5.000000e-02 1.362986e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180191e+01 3.964065e+02 1.362989e-03 2.877118e-02 1.113316e-01 3.203142e-03
1.250000e+00 8.852000e-01 8.430476e-01 5.000000e-02 1.254519e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180130e+01 1.187843e+04 1.254522e-02 1.249480e-02 1.030279e-01 1.287313e-03
1.250000e+00 1.162000e+00 1.106667e+00 5.000000e-02 1.168282e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180124e+01 3.044038e+03 1.168285e-02 2.868735e-02 1.059185e-01 3.038521e-03
1.250000e+00 8.790000e-02 8.371428e-02 5.000000e-02 1.102702e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.381397e+09 1.102705e-07 2.314006e-08 9.511216e-02 2.200902e-09
1.250000e+00 7.727000e-01 7.359048e-01 5.000000e-02 1.015876e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180154e+01 2.345267e+04 1.015878e-02 7.207552e-03 1.003467e-01 7.232542e-04
1.250000e+00 2.275000e-01 2.166667e-01 5.000000e-02 3.339658e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.077503e+07 3.339665e-05 8.085367e-06 9.433155e-02 7.627053e-07
1.250000e+00 2.986000e-01 2.843809e-01 5.000000e-02 1.651392e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.745831e+06 1.651396e-04 3.953742e-05 9.552333e-02 3.776746e-06
1.250000e+00 1.321000e-01 1.258095e-01 5.000000e-02 1.177138e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.687915e+08 1.177140e-06 2.589120e-07 9.584510e-02 2.481545e-08
