# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
2.000000e-02 5.936000e-01 2.500000e-01 1.374400e+00 2.031818e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.022999e+01 6.814907e-15 2.031822e+01
2.000000e-02 3.321000e-01 2.500000e-01 3.284000e-01 7.185452e-04 1.763596e-03 1.000000e+00 1.000000e-04 8.817979e-04 6.301455e+00 2.666839e-13 5.587174e+02
2.850000e-02 2.988000e-01 2.500000e-01 1.952000e-01 8.277701e-04 1.158083e-03 1.000000e+00 1.000000e-04 5.790413e-04 1.480155e+01 2.359308e-12 2.775420e+02
3.207000e-02 3.150000e-01 2.500000e-01 2.600000e-01 6.474910e-04 1.623542e-03 1.000000e+00 1.000000e-04 8.117710e-04 1.003054e+01 1.321638e-12 4.266785e+02
2.000000e-02 3.501000e-01 2.500000e-01 4.004000e-01 5.452439e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 7.083158e+00 1.571985e-13 5.452450e+02
3.207000e-02 6.258000e-01 2.500000e-01 1.503200e+00 1.239014e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.084860e+01 1.402536e-14 1.239017e+01
2.000000e-02 1.007000e+00 2.500000e-01 3.028000e+00 2.178056e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180502e+01 9.404704e-16 2.178061e-01
2.000000e-02 6.598000e-01 2.500000e-01 1.639200e+00 9.101062e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.122009e+01 4.398017e-15 9.101081e+00
2.000000e-02 8.149000e-01 2.500000e-01 2.259600e+00 1.534179e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.176142e+01 1.972477e-15 1.534182e+00
2.000000e-02 5.066000e-01 2.500000e-01 1.026400e+00 6.244273e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.674030e+01 1.409854e-14 6.244285e+01
