# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events
2.000000e-02 1.061000e+00 2.500000e-01 3.244000e+00 1.301879e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180521e+01 7.885086e-16 1.301882e-01
2.000000e-02 3.150000e-01 2.500000e-01 2.600000e-01 9.173709e-04 1.471031e-03 1.000000e+00 1.000000e-04 7.355156e-04 8.214597e+00 5.025993e-13 4.962823e+02
2.000000e-02 7.333000e-01 2.500000e-01 1.933200e+00 3.844372e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.162100e+01 2.915326e-15 3.844380e+00
2.000000e-02 3.321000e-01 2.500000e-01 3.284000e-01 7.091725e-04 1.780489e-03 1.000000e+00 1.000000e-04 8.902445e-04 6.163725e+00 2.666691e-13 5.620443e+02
2.000000e-02 6.955000e-01 2.500000e-01 1.782000e+00 5.973507e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.146205e+01 3.572101e-15 5.973519e+00
2.000000e-02 9.548000e-01 2.500000e-01 2.819200e+00 3.606061e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180360e+01 1.128129e-15 3.606069e-01
2.000000e-02 2.688000e-01 2.500000e-01 7.519996e-02 4.855181e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 4.340627e+01 5.483216e-01 4.855191e+02
2.000000e-02 2.550000e-01 2.500000e-01 1.999998e-02 1.998724e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.936078e+01 2.076399e+03 1.998728e+01
2.251000e-02 3.321000e-01 2.500000e-01 3.284000e-01 6.807158e-04 1.814215e-03 1.000000e+00 1.000000e-04 9.071075e-04 6.690845e+00 3.381161e-13 5.601229e+02
2.251000e-02 4.324000e-01 2.500000e-01 7.296000e-01 1.613046e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.985941e+01 4.214514e-14 1.613049e+02
2.251000e-02 9.057000e-01 2.500000e-01 2.622800e+00 5.885419e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.179747e+01 1.716202e-15 5.885431e-01
2.251000e-02 4.806000e-01 2.500000e-01 9.224000e-01 8.495482e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.487591e+01 2.333505e-14 8.495499e+01
2.251000e-02 7.730000e-01 2.500000e-01 2.092000e+00 2.421089e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.171070e+01 3.031288e-15 2.421094e+00
2.251000e-02 5.066000e-01 2.500000e-01 1.026400e+00 6.084123e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.677191e+01 1.785942e-14 6.084135e+01
2.251000e-02 1.457000e+00 2.500000e-01 4.828000e+00 4.614617e-09 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180226e+01 3.554397e-16 4.614626e-03
2.251000e-02 7.333000e-01 2.500000e-01 1.933200e+00 3.768500e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.162697e+01 3.692950e-15 3.768507e+00
2.251000e-02 2.988000e-01 2.500000e-01 1.952000e-01 1.023696e-03 1.100769e-03 1.000000e+00 1.000000e-04 5.503847e-04 1.337168e+01 1.423123e-12 3.101013e+02
2.251000e-02 6.598000e-01 2.500000e-01 1.639200e+00 8.899401e-06 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.122521e+01 5.570703e-15 8.899419e+00
2.251000e-02 3.891000e-01 2.500000e-01 5.563999e-01 2.980058e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.302787e+01 8.431005e-14 2.980064e+02
2.251000e-02 5.936000e-01 2.500000e-01 1.374400e+00 1.997753e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.026144e+01 8.632851e-15 1.997757e+01
2.251000e-02 1.707000e+00 2.500000e-01 5.828000e+00 6.424158e-10 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180207e+01 2.156721e-16 6.424171e-04
2.251000e-02 1.007000e+00 2.500000e-01 3.028000e+00 2.168996e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180457e+01 1.191347e-15 2.169001e-01
2.251000e-02 8.591000e-01 2.500000e-01 2.436400e+00 9.517426e-07 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.178567e+01 2.067252e-15 9.517445e-01
2.251000e-02 2.834000e-01 2.500000e-01 1.336000e-01 1.018799e-03 8.322751e-04 1.000000e+00 1.000000e-04 4.161375e-04 1.960535e+01 4.469835e-12 1.764259e+02
2.251000e-02 5.341000e-01 2.500000e-01 1.136400e+00 4.243746e-05 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 2.828094e+01 1.385379e-14 4.243754e+01
2.251000e-02 3.691000e-01 2.500000e-01 4.764000e-01 3.899918e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.029475e+01 1.261531e-13 3.899926e+02
2.251000e-02 4.102000e-01 2.500000e-01 6.408000e-01 2.233198e-04 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 1.650826e+01 5.865212e-14 2.233202e+02
2.251000e-02 3.150000e-01 2.500000e-01 2.600000e-01 8.479206e-04 1.486983e-03 1.000000e+00 1.000000e-04 7.434913e-04 8.731937e+00 6.381351e-13 4.687130e+02
2.251000e-02 2.000000e+00 2.500000e-01 7.000000e+00 5.465214e-11 2.000002e-03 1.000000e+00 1.000000e-04 1.000001e-03 3.180203e+01 1.317201e-16 5.465225e-05
