# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 1.514000e-01 1.441905e-01 5.000000e-02 7.609645e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179975e+01 5.395710e+05 7.609660e-02 1.063463e-04 9.585118e-02 1.019342e-05
1.250000e+00 2.965000e-02 2.823810e-02 5.000000e-02 9.660416e-13 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 7.519157e+09 9.660435e-07 1.467793e-09 9.243812e-02 1.356800e-10
1.250000e+00 1.014000e+00 9.657143e-01 5.000000e-02 5.357227e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.147641e+01 3.852460e+01 5.357238e+00 1.860870e-01 1.039740e-01 1.934821e-02
1.250000e+00 2.259000e-02 2.151429e-02 5.000000e-02 8.564214e-15 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 6.765853e+11 8.564231e-09 1.202664e-11 9.062007e-02 1.089855e-12
1.250000e+00 1.986000e-01 1.891429e-01 5.000000e-02 3.505320e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179383e+01 1.366969e+05 3.505327e-01 5.280201e-04 9.422376e-02 4.975204e-05
1.250000e+00 1.746000e+00 1.662857e+00 5.000000e-02 3.682070e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.177075e+01 2.537892e+00 3.682077e-01 8.582110e-01 1.111821e-01 9.541772e-02
1.250000e+00 1.734000e-01 1.651429e-01 5.000000e-02 1.626875e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179814e+01 2.713945e+05 1.626879e-01 2.288662e-04 9.449276e-02 2.162620e-05
1.250000e+00 1.162000e+00 1.106667e+00 5.000000e-02 3.550229e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.156031e+01 1.948353e+01 3.550236e+00 3.950427e-01 1.060715e-01 4.190277e-02
1.250000e+00 1.153000e-01 1.090534e-01 5.728000e-02 3.556594e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180097e+01 1.130830e+06 3.556602e-02 3.957945e-05 9.600146e-02 3.799685e-06
1.250000e+00 8.790000e-02 8.313786e-02 5.728000e-02 6.765238e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180189e+01 4.560422e+06 6.765251e-03 7.752898e-06 9.392758e-02 7.282110e-07
1.250000e+00 3.918000e-01 3.705735e-01 5.728000e-02 2.023713e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.113474e+01 2.381618e+03 2.023717e+01 2.651502e-02 9.684420e-02 2.567826e-03
1.250000e+00 2.275000e-01 2.151748e-01 5.728000e-02 2.069930e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.174229e+01 3.640783e+04 2.069935e+00 2.313299e-03 9.588376e-02 2.218078e-04
