# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
2.000000e-02 1.108000e+00 1.500000e-01 6.386667e+00 4.974987e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.197843e+01 6.166445e-16 4.974997e+00 4.671087e-02 4.671087e-02
2.000000e-02 1.264000e+00 1.500000e-01 7.426667e+00 1.291097e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.185753e+01 4.100224e-16 1.291100e+00 4.485381e-02 4.485381e-02
2.000000e-02 2.986000e-01 1.500000e-01 9.906666e-01 6.050807e-02 1.824716e-04 1.000000e+00 8.000000e-04 9.123579e-05 1.080838e+01 7.132833e-14 5.036673e+02 1.075792e-01 1.075792e-01
2.000000e-02 1.873000e+00 1.500000e-01 1.148667e+01 8.318362e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180247e+01 1.231155e-16 8.318379e-03 4.212259e-02 4.212259e-02
2.000000e-02 7.479000e-01 1.500000e-01 3.986000e+00 1.894791e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 2.897368e+01 2.145330e-15 1.894795e+02 6.052506e-02 6.052506e-02
2.000000e-02 3.189000e-01 1.500000e-01 1.126000e+00 4.569998e-02 2.113090e-04 1.000000e+00 8.000000e-04 1.056545e-04 1.024873e+01 5.181520e-14 5.101430e+02 1.042606e-01 1.042606e-01
2.000000e-02 1.643000e+00 1.500000e-01 9.953333e+00 5.918302e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180522e+01 1.834642e-16 5.918314e-02 4.255309e-02 4.255309e-02
2.000000e-02 8.527000e-01 1.500000e-01 4.684667e+00 6.005492e-05 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.162579e+01 1.406376e-15 6.005504e+01 5.484937e-02 5.484937e-02
2.000000e-02 1.754000e+00 1.500000e-01 1.069333e+01 2.373952e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180336e+01 1.503201e-16 2.373957e-02 4.246551e-02 4.246551e-02
2.000000e-02 2.619000e-01 1.500000e-01 7.460001e-01 1.006765e-01 1.471100e-04 1.000000e+00 8.000000e-04 7.355502e-05 9.131472e+00 1.456536e-13 5.446941e+02 1.134280e-01 1.134280e-01
2.000000e-02 2.797000e-01 1.500000e-01 8.646667e-01 7.882764e-02 1.628767e-04 1.000000e+00 8.000000e-04 8.143834e-05 9.729029e+00 1.003357e-13 5.228009e+02 1.106323e-01 1.106323e-01
2.000000e-02 9.105000e-01 1.500000e-01 5.070000e+00 3.339882e-05 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.208975e+01 1.141728e-15 3.339888e+01 5.221853e-02 5.221853e-02
2.000000e-02 3.405000e-01 1.500000e-01 1.270000e+00 3.357249e-02 2.442529e-04 1.000000e+00 8.000000e-04 1.221265e-04 1.088767e+01 3.839967e-14 5.007294e+02 1.013714e-01 1.013714e-01
2.000000e-02 6.143000e-01 1.500000e-01 3.095333e+00 9.331217e-04 1.386246e-03 1.000000e+00 8.000000e-04 6.931232e-04 2.007254e+01 4.116295e-15 4.482902e+02 7.146656e-02 7.146656e-02
2.000000e-02 1.887000e-01 1.500000e-01 2.580000e-01 2.684231e-01 8.397024e-05 1.000000e+00 8.000000e-04 4.198512e-05 1.240288e+01 2.444111e-12 4.731630e+02 1.178743e-01 1.178743e-01
2.000000e-02 7.004000e-01 1.500000e-01 3.669333e+00 3.287964e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 2.659222e+01 2.658755e-15 3.287970e+02 6.381816e-02 6.381816e-02
2.000000e-02 1.767000e-01 1.500000e-01 1.780000e-01 2.612467e-01 6.860918e-05 1.000000e+00 8.000000e-04 3.430459e-05 1.916554e+01 7.803676e-12 3.074364e+02 1.117715e-01 1.117715e-01
2.000000e-02 2.453000e-01 1.500000e-01 6.353333e-01 1.291979e-01 1.336931e-04 1.000000e+00 8.000000e-04 6.684653e-05 8.498486e+00 2.192849e-13 5.773156e+02 1.161652e-01 1.161652e-01
2.000000e-02 3.636000e-01 1.500000e-01 1.424000e+00 2.444016e-02 2.912794e-04 1.000000e+00 8.000000e-04 1.456397e-04 1.073691e+01 2.889099e-14 5.183983e+02 9.810185e-02 9.810185e-02
2.000000e-02 9.722000e-01 1.500000e-01 5.481333e+00 1.776659e-05 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.212851e+01 9.282723e-16 1.776662e+01 4.974871e-02 4.974871e-02
2.000000e-02 4.145000e-01 1.500000e-01 1.763333e+00 1.233438e-02 4.084086e-04 1.000000e+00 8.000000e-04 2.042043e-04 1.226914e+01 1.697705e-14 5.143363e+02 9.148470e-02 9.148470e-02
2.000000e-02 1.038000e+00 1.500000e-01 5.920000e+00 9.527823e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.205951e+01 7.559531e-16 9.527842e+00 4.796870e-02 4.796870e-02
2.000000e-02 1.349000e+00 1.500000e-01 7.993333e+00 6.354863e-07 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.183275e+01 3.355271e-16 6.354876e-01 4.392360e-02 4.392360e-02
2.000000e-02 4.426000e-01 1.500000e-01 1.950667e+00 8.464397e-03 4.981784e-04 1.000000e+00 8.000000e-04 2.490892e-04 1.238088e+01 1.319703e-14 5.251771e+02 8.845575e-02 8.845575e-02
2.000000e-02 2.015000e-01 1.500000e-01 3.433333e-01 2.398132e-01 1.014662e-04 1.000000e+00 8.000000e-04 5.073310e-05 8.212794e+00 1.105476e-12 6.172425e+02 1.201219e-01 1.201219e-01
2.000000e-02 3.882000e-01 1.500000e-01 1.588000e+00 1.763394e-02 3.418147e-04 1.000000e+00 8.000000e-04 1.709074e-04 1.144011e+01 2.203257e-14 5.150755e+02 9.483676e-02 9.483676e-02
2.000000e-02 2.000000e+00 1.500000e-01 1.233333e+01 2.553246e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180216e+01 1.008731e-16 2.553251e-03 4.195757e-02 4.195757e-02
2.000000e-02 2.297000e-01 1.500000e-01 5.313333e-01 1.619817e-01 1.230618e-04 1.000000e+00 8.000000e-04 6.153089e-05 7.198657e+00 3.476625e-13 6.132710e+02 1.183000e-01 1.183000e-01
2.000000e-02 1.441000e+00 1.500000e-01 8.606667e+00 3.052457e-07 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.181805e+01 2.739865e-16 3.052463e-01 4.344623e-02 4.344623e-02
2.000000e-02 1.184000e+00 1.500000e-01 6.893333e+00 2.591215e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.190407e+01 5.018103e-16 2.591221e+00 4.586339e-02 4.586339e-02
2.000000e-02 5.753000e-01 1.500000e-01 2.835333e+00 1.531632e-03 1.138318e-03 1.000000e+00 8.000000e-04 5.691592e-04 1.763034e+01 5.147483e-15 4.961602e+02 7.521174e-02 7.521174e-02
2.000000e-02 7.986000e-01 1.500000e-01 4.324000e+00 1.082529e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.067871e+01 1.735347e-15 1.082532e+02 5.755423e-02 5.755423e-02
2.000000e-02 4.726000e-01 1.500000e-01 2.150667e+00 5.751262e-03 6.066983e-04 1.000000e+00 8.000000e-04 3.033491e-04 1.360047e+01 1.033749e-14 5.292351e+02 8.495065e-02 8.495065e-02
2.000000e-02 2.151000e-01 1.500000e-01 4.340000e-01 1.989777e-01 1.148046e-04 1.000000e+00 8.000000e-04 5.740230e-05 6.610813e+00 5.905560e-13 6.556362e+02 1.198533e-01 1.198533e-01
2.000000e-02 5.046000e-01 1.500000e-01 2.364000e+00 3.730878e-03 7.521458e-04 1.000000e+00 8.000000e-04 3.760729e-04 1.426631e+01 8.151099e-15 5.276611e+02 8.169853e-02 8.169853e-02
2.000000e-02 1.539000e+00 1.500000e-01 9.260000e+00 1.401074e-07 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180992e+01 2.239958e-16 1.401077e-01 4.302675e-02 4.302675e-02
2.000000e-02 6.560000e-01 1.500000e-01 3.373333e+00 5.667974e-04 1.695253e-03 1.000000e+00 8.000000e-04 8.476266e-04 2.294568e+01 3.302138e-15 4.072274e+02 6.789691e-02 6.789691e-02
2.000000e-02 5.388000e-01 1.500000e-01 2.592000e+00 2.414990e-03 9.168726e-04 1.000000e+00 8.000000e-04 4.584363e-04 1.593438e+01 6.462088e-15 5.075436e+02 7.803435e-02 7.803435e-02
2.000000e-02 1.655000e-01 1.500000e-01 1.033333e-01 1.133214e-01 1.061247e-04 1.000000e+00 8.000000e-04 5.306236e-05 2.355055e+01 5.867979e-02 3.190694e+02 1.018845e-01 9.885780e-02
2.000000e-02 1.550000e-01 1.500000e-01 3.333334e-02 5.039187e-03 6.294091e-04 1.000000e+00 8.000000e-04 3.147046e-04 2.585645e+01 3.307002e+01 4.990758e+02 9.434252e-02 1.369225e-03
2.251000e-02 2.000000e+00 1.500000e-01 1.233333e+01 2.574268e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180216e+01 1.277960e-16 2.574273e-03 4.168177e-02 4.168177e-02
2.251000e-02 1.873000e+00 1.500000e-01 1.148667e+01 8.302306e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180248e+01 1.559594e-16 8.302323e-03 4.187812e-02 4.187812e-02
2.251000e-02 6.560000e-01 1.500000e-01 3.373333e+00 5.550456e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 2.372757e+01 4.183260e-15 5.550467e+02 6.806457e-02 6.806457e-02
2.251000e-02 7.479000e-01 1.500000e-01 3.986000e+00 1.876817e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 2.885918e+01 2.717855e-15 1.876820e+02 6.077816e-02 6.077816e-02
2.251000e-02 1.184000e+00 1.500000e-01 6.893333e+00 2.522213e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.190769e+01 6.357392e-16 2.522218e+00 4.552976e-02 4.552976e-02
2.251000e-02 1.539000e+00 1.500000e-01 9.260000e+00 1.365605e-07 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180928e+01 2.837644e-16 1.365607e-01 4.262170e-02 4.262170e-02
2.251000e-02 1.108000e+00 1.500000e-01 6.386667e+00 5.025815e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.198229e+01 7.811102e-16 5.025825e+00 4.644416e-02 4.644416e-02
2.251000e-02 5.046000e-01 1.500000e-01 2.364000e+00 3.704410e-03 7.532350e-04 1.000000e+00 8.000000e-04 3.766175e-04 1.439303e+01 1.032602e-14 5.254363e+02 8.241613e-02 8.241613e-02
2.251000e-02 9.722000e-01 1.500000e-01 5.481333e+00 1.794470e-05 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.209836e+01 1.175874e-15 1.794474e+01 5.000543e-02 5.000543e-02
2.251000e-02 4.726000e-01 1.500000e-01 2.150667e+00 5.531270e-03 6.164890e-04 1.000000e+00 8.000000e-04 3.082445e-04 1.314326e+01 1.309492e-14 5.255518e+02 8.557691e-02 8.557691e-02
2.251000e-02 7.986000e-01 1.500000e-01 4.324000e+00 1.068409e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.070680e+01 2.198141e-15 1.068411e+02 5.790053e-02 5.790053e-02
2.251000e-02 7.004000e-01 1.500000e-01 3.669333e+00 3.262246e-04 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 2.557741e+01 3.367895e-15 3.262253e+02 6.458405e-02 6.458405e-02
2.251000e-02 1.264000e+00 1.500000e-01 7.426667e+00 1.283021e-06 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.186062e+01 5.193856e-16 1.283024e+00 4.480495e-02 4.480495e-02
