# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_selection eff_total
7.330000e-02 1.000000e+00 1.842475e-06 7.798204e-11 1.102833e-10 1.000000e-02 7.798204e-11 3.180203e+01 1.752815e+06 1.120446e-14 1.412814e-02 2.192318e-07
2.687000e-01 2.154000e-01 6.586703e-03 2.765928e-04 3.911613e-04 1.000000e-02 2.765928e-04 9.257502e+00 4.259557e+03 5.039064e+02 1.801897e-02 2.170078e-05
9.848000e-01 1.194000e-01 1.127566e-05 7.330846e-03 1.036710e-02 1.000000e-02 7.330649e-03 7.102211e+00 3.528074e+04 6.059687e+02 3.404707e-02 2.836228e-06
5.789000e-02 3.665000e-02 2.027033e-02 1.752201e-04 2.477987e-04 1.000000e-02 1.752201e-04 5.509921e+00 2.054455e+05 6.223417e+02 4.050053e-02 6.213997e-07
2.000000e+00 3.665000e-02 8.012453e-31 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.198280e+28 8.014652e-43 4.121624e-02 2.836151e-30
6.910000e-01 2.031000e-02 1.039740e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 3.275836e+27 1.040025e-40 4.118795e-02 6.939781e-30
1.777000e+00 8.377000e-02 2.763947e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.192937e+26 2.764705e-40 3.835574e-02 6.299472e-28
9.283000e-02 3.665000e-02 3.349127e-03 4.264400e-04 6.030772e-04 1.000000e-02 4.264400e-04 6.162063e+00 2.764100e+05 6.090423e+02 4.104702e-02 3.494147e-07
7.330000e-02 2.424000e-01 6.329439e-01 2.840740e-05 4.017414e-05 1.000000e-02 2.840740e-05 9.209814e+00 9.497080e-04 5.107735e+02 3.053980e-02 6.555527e-05
6.910000e-01 4.642000e-02 6.664788e-19 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.196631e+18 2.904139e-23 4.086926e-02 4.475257e-20
5.457000e-01 2.285000e-02 1.347307e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.052236e+01 7.057892e+06 1.347072e+01 4.084529e-02 3.882942e-09
4.309000e-01 8.377000e-02 1.084591e-04 2.331542e-03 3.297289e-03 1.000000e-02 2.331535e-03 6.097164e+00 7.417158e+04 5.895932e+02 3.822949e-02 1.403795e-06
1.489000e-01 4.375000e-01 1.963136e-02 1.285146e-04 1.817471e-04 1.000000e-02 1.285146e-04 1.787711e+01 3.302741e-05 3.242317e+02 1.570757e-02 4.039960e-05
2.388000e-01 5.541000e-01 1.787514e-03 2.654995e-04 3.754729e-04 1.000000e-02 2.654995e-04 2.610586e+01 1.037366e-05 1.260018e+02 9.539583e-03 2.898733e-05
2.850000e-02 5.541000e-01 6.960717e-02 8.245382e-05 1.166073e-04 1.000000e-02 8.245382e-05 1.797911e+01 1.393168e-06 4.732336e+02 2.598545e-02 6.764635e-05
2.251000e-02 5.223000e-02 2.034210e+01 5.443479e-06 7.698241e-06 1.000000e-02 5.443479e-06 6.020779e+00 2.618239e-01 6.027661e+02 3.966463e-02 7.352782e-05
6.910000e-01 4.375000e-01 1.053884e-04 2.004734e-03 2.835117e-03 1.000000e-02 2.004730e-03 1.633512e+01 1.311993e+02 4.235516e+02 7.760056e-03 1.819647e-05
6.910000e-01 5.878000e-02 2.629059e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 3.665738e+17 1.145596e-22 4.002611e-02 1.764304e-19
2.533000e-02 6.615000e-02 1.530780e+01 6.237638e-06 8.821353e-06 1.000000e-02 6.237638e-06 6.340552e+00 1.199977e-01 5.955980e+02 3.936871e-02 7.350514e-05
2.687000e-01 7.017000e-01 5.247545e-04 3.375802e-04 4.774105e-04 1.000000e-02 3.375802e-04 3.085024e+01 3.862411e-06 5.980124e+01 1.063721e-02 3.692700e-05
8.751000e-01 1.125000e-02 4.633036e-31 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.645445e+29 4.634308e-43 4.106481e-02 7.225148e-32
3.829000e-01 8.886000e-01 7.887751e-08 3.606013e-10 5.099673e-10 1.000000e-02 3.606013e-10 3.180203e+01 3.505412e+06 1.025670e-14 9.094306e-03 5.059240e-08
9.283000e-02 1.000000e+00 3.922266e-07 4.991262e-11 7.058710e-11 1.000000e-02 4.991262e-11 3.180203e+01 6.863319e+06 9.771422e-16 1.439771e-02 5.626358e-08
7.776000e-01 1.805000e-02 2.082200e-29 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 9.502344e+27 2.082772e-41 4.116053e-02 2.122995e-30
8.751000e-01 1.061000e-01 1.257123e-05 6.721667e-03 9.505657e-03 1.000000e-02 6.721515e-03 7.106244e+00 4.723550e+04 5.679784e+02 3.581086e-02 2.029097e-06
