# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geometry eff_selection eff_total
1.045000e-01 1.194000e-01 2.020264e-03 4.725389e-04 6.682708e-04 8.000000e-04 4.725388e-04 1.222573e+01 4.110665e-04 4.511107e+02 2.896733e-02 2.254251e-02 4.904657e-05
1.045000e-01 1.061000e-01 2.151712e-03 4.555778e-04 6.442842e-04 8.000000e-04 4.555777e-04 1.333482e+01 3.317287e-02 4.465902e+02 2.873737e-02 2.368985e-02 5.181921e-05
4.062000e-02 5.878000e-02 3.404812e-02 1.266485e-04 1.791080e-04 8.000000e-04 1.266485e-04 8.111155e+00 1.882902e-03 5.461267e+02 1.652323e-02 3.723813e-02 7.182592e-05
1.045000e-01 1.125000e-02 2.360450e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.158450e+01 5.192745e+07 2.360686e+00 1.766141e-07 4.036883e-02 5.296415e-10
3.829000e-01 4.924000e-01 2.624877e-06 1.822849e-03 2.577894e-03 8.000000e-04 1.822846e-03 3.177866e+01 2.123565e-06 8.721887e+00 5.986443e-02 5.206593e-03 1.507836e-05
8.249000e-02 2.728000e-01 2.427484e-03 4.514295e-04 6.384176e-04 8.000000e-04 4.514294e-04 1.011484e+01 3.341430e-06 4.946934e+02 2.232249e-02 2.804383e-02 6.153128e-05
1.885000e-01 3.070000e-01 7.981871e-05 1.682207e-03 2.378997e-03 8.000000e-04 1.682205e-03 2.022854e+01 1.264547e-06 2.258727e+02 3.762722e-02 7.995729e-03 1.997325e-05
3.829000e-01 1.805000e-02 2.149318e-11 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180182e+01 8.730869e+08 2.149533e-03 1.594584e-08 4.087133e-02 2.836936e-11
3.403000e-01 7.444000e-02 2.621630e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 2.937436e+01 4.396422e+05 2.621892e+01 1.316049e-04 3.897717e-02 2.375302e-07
7.330000e-02 1.000000e+00 1.864911e-06 1.000000e-08 1.414214e-08 8.000000e-04 1.000000e-08 3.180203e+01 1.065923e+02 1.864911e-10 1.373546e-02 1.429440e-02 3.477881e-05
4.571000e-02 1.343000e-01 2.151963e-02 1.639078e-04 2.318006e-04 8.000000e-04 1.639078e-04 6.698969e+00 6.614850e-05 5.781415e+02 1.679058e-02 3.680337e-02 7.157292e-05
7.330000e-02 7.444000e-02 6.884263e-03 2.703958e-04 3.823975e-04 8.000000e-04 2.703958e-04 1.088346e+01 1.301574e-01 5.033354e+02 2.341266e-02 3.033197e-02 6.134810e-05
4.309000e-01 4.924000e-01 3.803725e-08 1.000000e-08 1.414214e-08 8.000000e-04 1.000000e-08 3.180203e+01 2.221903e+05 3.803725e-12 1.148302e-03 4.694488e-03 3.123786e-07
1.176000e-01 1.194000e-01 1.367126e-03 5.486717e-04 7.759389e-04 8.000000e-04 5.486716e-04 1.487782e+01 2.033592e-02 4.115605e+02 3.122854e-02 2.090418e-02 4.633053e-05
3.609000e-02 1.914000e-01 2.418890e-02 1.486134e-04 2.101712e-04 8.000000e-04 1.486134e-04 8.712043e+00 1.674671e-05 5.342350e+02 1.444996e-02 3.590379e-02 7.085966e-05
1.045000e-01 6.615000e-02 8.724735e-05 2.626873e-03 3.714946e-03 8.000000e-04 2.626863e-03 6.891919e+00 7.907102e+04 6.020468e+02 6.798456e-04 3.936236e-02 1.995334e-06
2.000000e-02 4.924000e-01 1.074387e-03 6.852911e-04 9.691478e-04 8.000000e-04 6.852910e-04 1.593357e+01 1.415245e-08 5.045578e+02 1.505743e-02 2.800489e-02 6.724457e-05
1.675000e-01 1.604000e-02 6.203592e-09 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.174285e+01 5.754687e+07 6.204213e-01 2.214882e-07 4.038222e-02 5.579430e-10
1.675000e-01 1.805000e-02 1.262206e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.167946e+01 3.175855e+07 1.262332e+00 4.587472e-07 4.074273e-02 1.140506e-09
4.062000e-02 2.154000e-01 1.638690e-02 1.786044e-04 2.525847e-04 8.000000e-04 1.786044e-04 8.969945e+00 1.030535e-05 5.227344e+02 1.550454e-02 3.578640e-02 7.103823e-05
1.323000e-01 1.914000e-01 5.956660e-04 8.220063e-04 1.162492e-03 8.000000e-04 8.220060e-04 1.379024e+01 1.374256e-05 4.024881e+02 3.201160e-02 1.515107e-02 3.354041e-05
2.000000e-02 6.236000e-01 2.018478e-04 1.396169e-03 1.974479e-03 8.000000e-04 1.396167e-03 2.264615e+01 1.678623e-09 3.934593e+02 1.478744e-02 2.288438e-02 6.173681e-05
2.533000e-02 5.223000e-02 1.009385e-01 7.743991e-05 1.095166e-04 8.000000e-04 7.743991e-05 5.958976e+00 1.731944e-03 6.053221e+02 1.298061e-02 3.943027e-02 7.348985e-05
3.403000e-01 2.285000e-02 2.233356e-10 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179991e+01 1.665941e+08 2.233580e-02 1.078116e-07 4.041872e-02 1.991971e-10
4.309000e-01 6.236000e-01 1.202720e-07 1.000000e-08 1.414214e-08 8.000000e-04 1.000000e-08 3.180203e+01 2.845476e+04 1.202720e-11 8.296767e-03 4.373718e-03 2.312913e-06
3.609000e-02 1.266000e-02 2.473099e-05 5.046677e-03 7.136989e-03 8.000000e-04 5.046613e-03 6.101263e+00 1.487792e+06 6.298724e+02 7.641310e-06 4.035290e-02 3.848317e-08
3.829000e-01 5.541000e-01 2.752569e-07 1.000000e-08 1.414214e-08 8.000000e-04 1.000000e-08 3.180203e+01 3.203373e+04 2.752569e-11 7.204170e-03 5.136625e-03 2.341483e-06
